ticker,MBDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-01,-4.4118
2000-03-07,0.0
2000-07-24,0.0
2000-09-11,0.0
2000-12-27,1.5385
2001-09-06,0.6061
2001-11-28,11.4458
2001-12-03,0.0
2001-12-17,1.3514
2002-01-16,6.6667
2002-01-23,-0.5
2002-01-28,-4.5226
2002-02-05,5.2632
2002-02-25,-2.5
2002-03-14,0.5128
2002-04-02,-5.6122
2002-04-18,8.1081
2002-04-23,-2.5
2003-01-03,-6.6667
2003-01-22,1.6484
2003-02-14,-1.6216
2003-03-13,-5.2198
2003-06-16,-1.4493
2003-08-05,-2.9412000000000003
2003-08-08,-1.5152
2003-08-27,3.0769
2003-10-20,4.4776
2003-10-21,17.1429
2003-11-13,4.3902
2003-11-25,58.8785
2003-12-09,-29.4118
2003-12-18,-12.5
2003-12-22,-0.9524
2004-03-23,-12.788499999999999
2004-04-07,-0.7718
2004-05-12,44.4444
2004-06-10,-23.0
2004-06-16,29.8701
2004-09-01,0.0
2004-09-17,0.0
2004-10-05,-1.5385
2004-10-14,0.5391
2004-11-19,12.6739
2004-12-17,-10.3448
2004-12-21,0.0
2004-12-31,3.8462
2005-03-16,-3.7037
2005-04-11,0.1538
2005-04-14,-0.1536
2005-04-15,2.6923
2005-06-10,4.8689
2005-06-16,-4.2857
2005-06-30,8.5821
2005-07-05,-2.0619
2005-07-28,19.2982
2005-08-23,-2.9412000000000003
2005-08-25,3.3333
2005-12-14,-3.2258
2006-01-13,3.0303
2007-05-07,5.8824
2007-09-07,11.1111
2007-11-12,-18.75
2007-12-18,0.0
2008-01-23,0.0
2008-04-02,3.8154
2008-06-12,-0.4149
2008-06-24,-0.2976
2008-07-30,-7.1642
2008-07-31,2.2508
2008-08-01,5.3459
2008-08-04,0.0
2008-09-22,46.2687
2008-09-29,-10.0
2009-02-18,-22.449
2009-04-02,-0.5848
2009-05-19,-6.4706
2009-06-15,-4.0881
2009-09-04,0.3279
2009-11-24,-0.9804
2009-12-16,-19.1419
2009-12-28,11.0204
2010-04-20,-0.7353
2010-07-21,-7.4074
2010-08-26,0.0
2010-09-29,0.4
2010-11-03,0.7968
2011-04-20,0.8696
2011-05-06,1.8809
2011-05-11,0.0
2011-05-18,3.8462
2011-07-20,-2.963
2011-11-30,-16.0305
2011-12-06,18.1818
2012-03-26,15.3846
2012-04-27,7.0
2012-05-01,3.7382999999999997
2012-05-07,-0.9009
2012-06-12,2.5455
2015-02-10,21.4539
2015-05-05,2.1898
2015-06-16,7.1429
2015-06-18,0.0
2015-07-09,4.4444
2015-08-13,-2.1277
2016-01-27,-2.1739
2016-03-16,6.6667
2016-04-13,2.0833
2016-04-21,2.0408
2016-04-25,0.04
2016-05-26,3.5586
2016-05-27,2.3166
2016-06-14,0.9434
2016-06-20,0.9346
2016-07-05,3.7037
2016-09-26,0.0
2017-05-01,14.2857
2017-05-02,-12.5
2017-09-08,2.5357
2018-05-23,18.4256
2018-07-18,-5.8824
2019-05-22,3.125
2019-06-14,7.7273
2019-08-02,-3.9661999999999997
2019-09-27,0.0293
2019-10-10,5.4173
2019-10-18,-5.1389
2019-11-21,2.489
2020-03-24,-0.8571
