ticker,CARE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-03-01,0.0
2007-03-02,0.4167
2007-03-06,1.6598000000000002
2007-03-07,2.0408
2007-03-08,2.4
2007-03-09,9.375
2007-03-12,-1.7856999999999998
2007-03-13,1.8182
2007-03-14,-5.3571
2007-03-15,0.0
2007-03-16,1.1320999999999999
2007-03-19,-1.1194
2007-03-20,-1.8868
2007-03-21,3.8462
2007-03-22,0.0
2007-03-26,0.0
2007-03-27,0.0
2007-03-28,-1.1111
2007-03-29,1.4981
2007-03-30,0.738
2007-04-02,1.6117
2007-04-03,0.0
2007-04-04,-0.5047
2007-04-05,2.8986
2007-04-09,-0.7042
2007-04-11,-2.0567
2007-04-12,-0.0724
2007-04-16,1.4493
2007-04-17,-1.0714
2007-04-18,-0.722
2007-04-19,0.0
2007-04-20,1.0909
2007-04-24,-1.0791
2007-04-25,-1.4545
2007-04-26,-0.2952
2007-04-27,1.7765
2007-04-30,-1.7455
2007-05-01,1.0363
2007-05-02,-1.0256
2007-05-03,0.0
2007-05-04,0.0
2007-05-08,0.0
2007-05-09,0.0
2007-05-10,0.0
2007-05-11,0.0
2007-05-14,0.0
2007-05-15,-1.1843
2007-05-16,-0.3745
2007-05-17,0.4511
2007-05-18,1.0479
2007-05-22,-0.0741
2007-05-23,0.0741
2007-05-24,-2.2222
2007-05-25,1.1364
2007-05-29,-1.8727
2007-05-30,1.9083999999999999
2007-05-31,0.0
2007-06-04,-2.6217
2007-06-05,-0.7692
2007-06-06,0.7752
2007-06-11,-0.7692
2007-06-12,1.938
2007-06-14,-1.1407
2007-06-15,-1.9231
2007-06-18,1.1764999999999999
2007-06-19,-1.1628
2007-06-21,0.0
2007-06-22,0.0
2007-06-25,0.0
2007-06-26,-1.9607999999999999
2007-06-28,-4.0
2007-06-29,0.5
2007-07-02,3.6484
2007-07-03,-3.52
2007-07-05,3.6484
2007-07-09,0.0
2007-07-10,-3.76
2007-07-11,-0.2494
2007-07-12,0.0
2007-07-13,-2.5
2007-07-17,0.8547
2007-07-18,-0.8475
2007-07-19,-1.7094
2007-07-20,-2.2609
2007-07-23,0.089
2007-07-25,-1.3333
2007-07-26,0.4505
2007-07-27,1.7936999999999999
2007-07-30,-1.3216
2007-07-31,1.3393
2007-08-02,-2.2026
2007-08-06,-0.4505
2007-08-07,0.4525
2007-08-09,0.0
2007-08-10,0.0
2007-08-13,0.9091
2007-08-15,-0.4505
2007-08-16,-2.7149
2007-08-17,4.186
2007-08-20,0.0
