ticker,POR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-04-03,-4.1322
2006-04-04,-1.8965999999999998
2006-04-05,1.0545
2006-04-06,4.0348
2006-04-07,-1.5379
2006-04-10,-4.9915
2006-04-11,-3.9314
2006-04-12,-1.4137
2006-04-13,0.3396
2006-04-17,0.6017
2006-04-18,0.486
2006-04-19,2.4554
2006-04-20,2.7596
2006-04-21,0.3887
2006-04-24,-0.2112
2006-04-25,-0.5291
2006-04-26,4.1489
2006-04-27,1.1917
2006-04-28,2.8937
2006-05-01,-0.654
2006-05-02,-1.4154
2006-05-03,0.0334
2006-05-04,0.0334
2006-05-05,-0.0667
2006-05-08,0.0
2006-05-09,-0.3339
2006-05-10,0.1675
2006-05-11,-0.1672
2006-05-12,0.335
2006-05-15,-0.1669
2006-05-16,0.2007
2006-05-17,-0.1669
2006-05-18,-0.0334
2006-05-19,-2.8428
2006-05-22,-2.5818
2006-05-23,-1.0954
2006-05-24,-0.8932
2006-05-25,0.721
2006-05-26,-0.2505
2006-05-30,-0.2512
2006-05-31,0.3597
2006-06-01,-0.3943
2006-06-02,0.7197
2006-06-05,-0.3573
2006-06-06,-0.6812
2006-06-07,-0.7942
2006-06-08,-1.3464
2006-06-09,0.332
2006-06-12,-0.8456
2006-06-13,-2.855
2006-06-14,-0.7252
2006-06-15,1.0381
2006-06-16,0.3044
2006-06-19,0.0759
2006-06-20,-0.0758
2006-06-21,1.214
2006-06-22,-0.9558
2006-06-23,0.3817
2006-06-26,0.7224
2006-06-27,-0.7173
2006-06-28,-0.6844
2006-06-29,1.3017
2006-06-30,-5.6311
2006-07-03,0.7209
2006-07-05,-1.8688
2006-07-06,-0.7293
2006-07-07,-0.2449
2006-07-10,0.8592
2006-07-11,1.7850000000000001
2006-07-12,-0.837
2006-07-13,0.3215
2006-07-14,0.1202
2006-07-17,0.5602
2006-07-18,0.9152
2006-07-19,-0.1183
2006-07-20,-0.6711
2006-07-21,0.159
2006-07-24,0.2381
2006-07-25,0.4355
2006-07-26,0.5912
2006-07-27,-0.0784
2006-07-28,0.9804
2006-07-31,1.5922
2006-08-01,0.1911
2006-08-02,0.2671
2006-08-03,-1.2938
2006-08-04,-0.1928
2006-08-07,-3.09
2006-08-08,-0.0399
2006-08-09,-0.319
2006-08-10,2.0
2006-08-11,1.3333
2006-08-14,-0.0774
2006-08-15,0.3098
2006-08-16,-0.4633
2006-08-17,-1.0473
2006-08-18,-0.588
2006-08-21,-1.5773000000000001
2006-08-22,-1.0817
