ticker,LIVX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-14,-92.2222
2017-12-15,3.5714
2017-12-18,3.4483
2017-12-19,-6.6667
2017-12-20,0.0
2017-12-21,0.0
2017-12-22,-42.8571
2017-12-26,2.5
2017-12-27,-2.439
2017-12-28,10.0
2018-01-02,-4.5455
2018-01-03,-4.7619
2018-01-04,0.0
2018-01-05,0.0
2018-01-08,3.75
2018-01-09,1.2048
2018-01-10,0.0
2018-01-11,-3.5714
2018-01-12,4.6914
2018-01-16,-4.4811
2018-01-17,1.2346
2018-01-18,-1.2195
2018-01-19,4.6543
2018-01-22,-4.4473
2018-01-23,1.2346
2018-01-24,-2.439
2018-01-25,0.0
2018-01-26,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,1.25
2018-02-02,-1.2346
2018-02-05,2.0
2018-02-06,-5.3922
2018-02-07,3.1088
2018-02-12,0.5025
2018-02-13,-1.25
2018-02-14,-1.2658
2018-02-15,0.0
2018-02-16,3.8462
2018-02-20,0.0
2018-02-22,-5.5556
2018-02-23,4.5752
2018-02-26,-0.75
2018-02-27,2.7708
2018-02-28,-1.9607999999999999
2018-03-01,1.0
2018-03-02,-0.495
2018-03-05,-0.2488
2018-03-06,4.2394
2018-03-07,-6.9378
2018-03-08,1.5424
2018-03-09,-1.2658
2018-03-12,-0.7692
2018-03-13,3.3592
2018-03-14,0.0
2018-03-15,-2.5
2018-03-16,-1.0256
2018-03-19,3.6269
2018-03-20,-3.0
2018-03-21,-10.8247
2018-03-22,14.7399
2018-03-23,-0.5038
2018-03-26,-1.2658
2018-03-27,0.0
2018-03-28,-1.2821
2018-03-29,-1.2987
2018-04-02,-1.3158
2018-04-03,4.0
2018-04-04,-1.0256
2018-04-05,-2.8497
2018-04-06,1.8667
2018-04-09,0.0
2018-04-10,-2.6178
2018-04-11,-0.5376
2018-04-12,1.8919000000000001
2018-04-13,1.3263
2018-04-16,0.2618
2018-04-17,-0.7833
2018-04-18,0.7895
2018-04-19,-0.7833
2018-04-20,-2.6316
2018-04-23,0.0
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,2.7027
2018-04-30,1.3158
2018-05-01,-1.2987
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,1.3158
2018-05-07,0.0
2018-05-08,1.2987
2018-05-09,-6.9231
2018-05-10,1.1019
2018-05-11,4.3597
2018-05-14,1.8277
2018-05-15,6.4103
2018-05-16,1.8072
2018-05-17,64.497
