ticker,VCRA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-28,31.4375
2012-03-29,18.4498
2012-03-30,-6.0618
2012-04-02,-1.7094
2012-04-03,-3.9130000000000003
2012-04-04,-4.5249
2012-04-05,2.6066000000000003
2012-04-09,-1.1085
2012-04-10,-1.4479
2012-04-11,-0.0474
2012-04-12,2.6079
2012-04-13,-2.1257
2012-04-16,5.0992
2012-04-17,0.1797
2012-04-18,-0.7623
2012-04-19,0.7682
2012-04-20,-1.6592
2012-04-23,-3.876
2012-04-24,-0.3795
2012-04-25,0.5238
2012-04-26,-0.379
2012-04-27,2.2349
2012-04-30,3.0233
2012-05-01,-0.7223
2012-05-02,-1.819
2012-05-03,1.5285
2012-05-04,-0.8668
2012-05-07,6.1666
2012-05-08,-4.0746
2012-05-09,-1.2652999999999999
2012-05-10,6.865
2012-05-11,7.7516
2012-05-14,1.8283
2012-05-15,-2.3810000000000002
2012-05-16,0.5598
2012-05-17,1.1531
2012-05-18,-5.4638
2012-05-21,0.2911
2012-05-22,-0.4561
2012-05-23,4.04
2012-05-24,-0.2402
2012-05-25,0.5217
2012-05-29,2.8743
2012-05-30,-5.5879
2012-05-31,-0.7398
2012-06-01,-3.8095
2012-06-04,-2.2815
2012-06-05,1.8062
2012-06-06,0.6491
2012-06-07,4.0413
2012-06-08,0.4132
2012-06-11,-0.823
2012-06-12,0.083
2012-06-13,0.5804
2012-06-14,4.2869
2012-06-15,-4.7036
2012-06-18,3.2766
2012-06-19,0.5622
2012-06-20,-0.8786
2012-06-21,0.282
2012-06-22,-0.6428
2012-06-25,0.0809
2012-06-26,9.1313
2012-06-27,-4.0355
2012-06-28,3.3565
2012-06-29,0.0
2012-07-02,4.4046
2012-07-03,-0.3933
2012-07-05,-1.1486
2012-07-06,-2.5418
2012-07-09,-7.228
2012-07-10,3.2932
2012-07-11,2.2551
2012-07-12,-0.3422
2012-07-13,4.4639
2012-07-16,-0.8035
2012-07-17,3.6818999999999997
2012-07-18,-0.3551
2012-07-19,-0.5702
2012-07-20,-2.9032
2012-07-23,-1.2551
2012-07-24,-0.8972
2012-07-25,5.1301
2012-07-26,-0.897
2012-07-27,-1.05
2012-07-30,-2.4149
2012-07-31,0.6374
2012-08-01,0.0
2012-08-02,1.4531
2012-08-03,7.1612
2012-08-06,-1.5079
2012-08-07,0.7307
2012-08-08,0.6563
2012-08-09,1.4756
2012-08-10,-0.0676
2012-08-13,-0.7783
2012-08-14,-1.4325
2012-08-15,0.0
