ticker,PBNC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-23,0.0
2019-12-30,-11.4286
2020-01-07,-3.2258
2020-01-09,0.0
2020-01-31,3.3333
2020-02-04,0.0
2020-02-05,0.6452
2020-02-11,1.6129
2020-02-12,1.5873
2020-02-13,2.9688
2020-02-20,-5.9181
2020-02-21,0.0
2020-02-24,3.2255
2020-03-04,0.0003
2020-03-05,-3.125
2020-03-06,1.6129
2020-03-16,-4.7619
2020-03-17,3.3333
2020-03-27,-3.2261
2020-04-02,0.0003
2020-05-05,-0.3333
2020-05-08,0.0
2020-05-13,0.6904
2020-05-15,-0.1672
2020-05-20,-1.1724999999999999
2020-05-26,-0.339
2020-05-27,0.0
2020-06-01,0.3401
2020-06-02,-0.0678
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-11,0.0
2020-06-24,-8.4125
2020-07-06,-7.4074
2020-07-22,4.0
2020-07-31,8.1154
