ticker,BLBX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-01,50.0
2016-01-21,1733.3333
2016-01-22,263.6364
2016-01-28,2.5
2016-02-01,-24.3902
2016-02-02,19.3548
2016-02-16,10.8108
2016-02-26,-0.7317
2016-03-11,0.7371
2016-03-18,4.878
2016-03-21,0.0
2016-04-27,9.3023
2016-04-28,19.1489
2016-04-29,14.2857
2016-06-27,-18.75
2016-08-01,-1.9231
2016-08-02,23.5294
2016-08-05,-14.2857
2016-08-10,7.4074
2016-09-09,-3.4483
2016-09-20,-2.1429
2016-10-11,0.365
2016-12-21,27.2727
2017-01-26,0.0
2017-03-29,4.5714
2017-05-12,1.0929
2017-05-23,1.3514
2017-06-06,0.8
2017-08-10,1.8519
2017-08-14,-19.4805
2017-08-15,20.9677
2017-08-21,0.0
2017-09-20,14.6667
2017-09-22,-0.9302
2017-09-29,0.2347
2017-10-13,19.4379
2017-10-18,2.9412000000000003
2017-11-02,0.0
2017-12-01,-1.9048
2017-12-29,-1.9417
2018-02-05,-47.5248
2018-02-06,315.0943
2018-02-08,-64.5455
2018-07-06,3.8462
2018-07-17,23.4568
2018-07-26,-48.0
2018-08-28,3.8462
2018-08-29,1.8519
2019-01-04,81.4545
2019-01-24,-39.8798
2019-01-30,0.0
2019-05-23,-26.6667
2019-07-15,-47.7273
2019-07-19,44.6377
2019-08-09,-1.002
2019-08-29,-3.8462
2019-11-06,0.0
2019-12-05,4.2105
2020-01-02,-44.4444
2020-01-07,-27.6364
2020-01-15,0.5025
2020-02-11,-0.005
2020-02-13,0.005
2020-02-14,0.0
2020-03-09,12.5
2020-03-16,-1.7778
2020-06-17,15.3846
2020-06-19,-3.5294
2020-07-13,3.6585
2020-07-16,17.647100000000002
2020-07-17,3.3333
2020-07-21,0.0
2020-07-28,-10.9677
