ticker,NBHC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-20,1.8182
2012-09-21,0.2551
2012-09-24,-0.5089
2012-09-25,0.5115
2012-09-26,-0.916
2012-09-27,-0.8731
2012-09-28,0.829
2012-10-01,0.3597
2012-10-02,-0.0512
2012-10-03,-0.2049
2012-10-04,0.462
2012-10-05,-0.2044
2012-10-08,0.0512
2012-10-09,-0.5118
2012-10-10,-0.6173
2012-10-11,-1.3458
2012-10-12,1.0493
2012-10-15,0.2596
2012-10-16,-0.1554
2012-10-17,1.6598000000000002
2012-10-18,0.3571
2012-10-19,-0.8643
2012-10-22,-1.2308
2012-10-23,-1.1942
2012-10-24,0.2627
2012-10-25,-0.7862
2012-10-26,-0.0528
2012-10-31,0.4228
2012-11-01,0.0
2012-11-02,-0.4737
2012-11-05,3.7016999999999998
2012-11-06,-0.9179
2012-11-07,0.0515
2012-11-08,-0.5144
2012-11-09,0.8273
2012-11-12,-0.2564
2012-11-13,0.2571
2012-11-14,-0.5128
2012-11-15,0.2577
2012-11-16,-0.9769
2012-11-19,-1.3498999999999999
2012-11-20,-2.4737
2012-11-21,-0.2159
2012-11-23,0.0
2012-11-26,-0.4867
2012-11-27,0.1087
2012-11-28,0.2172
2012-11-29,-1.195
2012-11-30,0.7147
2012-12-03,-0.7096
2012-12-04,-0.2199
2012-12-05,0.6612
2012-12-06,-0.6021
2012-12-07,0.2203
2012-12-10,0.1648
2012-12-11,0.1097
2012-12-12,0.6027
2012-12-13,0.2179
2012-12-14,-2.0109
2012-12-17,2.274
2012-12-18,-1.0846
2012-12-19,1.9737
2012-12-20,-0.6452
2012-12-21,0.3247
2012-12-24,0.3236
2012-12-26,0.1075
2012-12-27,1.6649
2012-12-28,-0.2113
2012-12-31,0.5294
2013-01-02,1.3165
2013-01-03,-2.027
2013-01-04,0.3183
2013-01-07,-0.2644
2013-01-08,0.106
2013-01-09,-0.1589
2013-01-10,0.7958
2013-01-11,-0.2632
2013-01-14,-2.2691
2013-01-15,0.108
2013-01-16,0.2157
2013-01-17,-0.2153
2013-01-18,-0.4315
2013-01-22,0.0542
2013-01-23,0.1624
2013-01-24,0.1081
2013-01-25,-0.108
2013-01-28,-0.3784
2013-01-29,-0.2713
2013-01-30,-0.4897
2013-01-31,-1.3122
2013-02-01,0.277
2013-02-04,-0.4972
2013-02-05,-0.1666
2013-02-06,-0.1112
2013-02-07,0.5568
2013-02-08,-0.443
2013-02-11,1.1123
2013-02-12,-1.1001
2013-02-13,0.0556
