ticker,GOCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-15,-7.3333
2020-07-16,1.4902
2020-07-17,7.8481
2020-07-20,-1.4554
2020-07-21,-0.4288
2020-07-22,5.1675
2020-07-23,-4.3221
2020-07-24,-5.9439
2020-07-27,1.6178
2020-07-28,-5.2239
2020-07-29,-8.084
2020-07-30,2.7984
2020-07-31,-1.3889
