ticker,ASCN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,0.053
2000-08-18,-23.4316
2000-08-29,0.0
2002-12-27,33.7261
2003-07-29,3.7195
2003-08-19,5.5556
2003-09-30,6.4327
2003-10-01,4.9451
2003-10-08,2.0942
2003-10-17,12.5641
2004-12-01,0.2364
2006-03-20,6.5327
2006-05-19,12.4402
2006-05-31,-4.2553
2006-08-10,-1.1111
2006-09-22,3.3708
2006-09-28,2.1739
2006-10-13,4.2553
2007-01-03,17.9167
2007-05-01,-9.894
2008-01-04,2.0243
2008-01-08,2.1825
2008-01-11,-10.9709
2008-02-26,-20.3926
2008-05-15,0.2786
2008-05-19,-1.1111
2008-05-29,13.4831
2008-06-24,-14.8515
2008-07-08,-9.3023
2008-07-15,-7.0513
2008-07-16,-3.4483
2008-07-31,0.0
2008-09-03,0.0
2008-09-04,0.0
2008-09-15,-6.4286
2008-09-16,0.0
2008-09-22,4.9618
2008-12-10,4.1199
2008-12-11,18.705
2008-12-17,-3.0303
2009-02-06,-19.375
2009-04-13,-21.7054
2009-04-16,0.0
2009-08-05,7.1429
2009-08-10,4.7619
2009-08-11,0.0
2009-08-25,4.5455
2009-09-03,8.6957
2009-10-20,4.8
2009-12-01,1.5504
2009-12-22,0.0
2010-01-27,-5.3435
2010-02-18,0.0
2010-03-22,-10.4839
2010-04-15,-5.4054
2010-04-19,-2.8571
2010-04-20,2.9412000000000003
2010-05-10,6.6667
2010-05-25,-8.2569
2010-09-09,4.0
2010-09-24,0.0
2010-09-28,0.0
2010-10-01,0.0
2010-10-11,0.0
2010-10-29,7.6923
2010-11-08,0.4464
2010-11-16,-5.7778
2010-11-18,-10.3774
2010-11-22,0.0
2010-12-02,0.0
2010-12-03,0.0
2010-12-13,23.1579
2010-12-22,-13.7931
2011-01-04,-5.95
2011-01-05,6.3264
2011-01-07,-5.95
2011-01-10,1.0101
2011-01-11,0.0
2011-02-03,-2.1053
2011-02-08,1.0753
2011-02-11,-4.2553
2011-02-17,-2.7778
2011-02-23,-2.8571
2011-02-28,3.5294
2011-03-01,-4.5455
2011-03-16,-2.3810000000000002
2011-03-17,0.6098
2011-04-15,-1.8182
2011-08-02,-1.2716
2011-08-09,-0.3126
2011-08-15,0.0
2011-11-09,0.0
2011-12-14,0.0
2011-12-15,0.0
2011-12-20,2.86
2012-02-03,-2.7805
2012-04-10,0.0
2012-05-01,0.0
2012-05-17,0.0
2012-05-25,0.0
2012-06-05,0.0
2012-06-18,-6.5479
