ticker,PRTY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-04-16,21.7647
2015-04-17,4.2029
2015-04-20,-1.4835
2015-04-21,-1.7882
2015-04-22,-1.0541
2015-04-23,1.937
2015-04-24,-0.095
2015-04-27,1.6167
2015-04-28,-0.1404
2015-04-29,-2.5305
2015-04-30,-0.0481
2015-05-01,1.2506
2015-05-04,1.0926
2015-05-05,-0.5639
2015-05-06,-0.7089
2015-05-07,1.0947
2015-05-08,-0.1412
2015-05-11,0.1886
2015-05-12,-1.3176
2015-05-13,3.7673
2015-05-14,-0.046
2015-05-15,1.4253
2015-05-18,-1.0426
2015-05-19,1.0078
2015-05-20,-2.3129
2015-05-21,1.4392
2015-05-22,-0.2288
2015-05-26,-1.0092
2015-05-27,0.4634
2015-05-28,-1.5683
2015-05-29,1.9213
2015-06-01,-1.0575
2015-06-02,-0.0465
2015-06-03,0.186
2015-06-04,0.1856
2015-06-05,-0.1853
2015-06-08,-0.1392
2015-06-09,-0.1394
2015-06-10,0.6515
2015-06-11,0.4623
2015-06-12,0.9204
2015-06-15,-0.5016
2015-06-16,0.275
2015-06-17,-0.4113
2015-06-18,-0.0918
2015-06-19,-1.4699
2015-06-22,-2.0979
2015-06-23,2.3333
2015-06-24,-2.6989
2015-06-25,-1.4346999999999999
2015-06-26,-1.3586
2015-06-29,-0.9346
2015-06-30,0.6455
2015-07-01,-1.2827
2015-07-02,-0.7496
2015-07-06,-0.3021
2015-07-07,0.1515
2015-07-08,0.2521
2015-07-09,3.3702
2015-07-10,2.2384
2015-07-13,0.6663
2015-07-14,1.7967
2015-07-15,-0.2787
2015-07-16,0.1397
2015-07-17,-0.4651
2015-07-20,1.4019
2015-07-21,0.0461
2015-07-22,2.8098
2015-07-23,-3.4050000000000002
2015-07-24,-0.9276
2015-07-27,-2.9494
2015-07-28,-0.8683
2015-07-29,0.3406
2015-07-30,0.0
2015-07-31,0.0
2015-08-03,-0.5335
2015-08-04,-0.2438
2015-08-05,1.4663
2015-08-06,-3.9981
2015-08-07,-0.6523
2015-08-10,-0.5556
2015-08-11,-1.7268
2015-08-12,-1.8088
2015-08-13,-0.5789
2015-08-14,-5.135
2015-08-17,2.0089
2015-08-18,-2.1335
2015-08-19,-1.062
2015-08-20,-0.5085
2015-08-21,0.2271
2015-08-24,-0.0567
2015-08-25,-0.737
2015-08-26,-4.0548
2015-08-27,0.1786
2015-08-28,-0.1188
2015-08-31,0.7733
2015-09-01,-0.2952
2015-09-02,1.2433
