ticker,XERS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-21,34.8
2018-06-22,-7.0227
2018-06-25,1.5957
2018-06-26,3.6126
2018-06-27,0.758
2018-06-28,-3.7111
2018-06-29,-1.1458
2018-07-02,-5.1106
2018-07-03,-0.0555
2018-07-05,4.8889
2018-07-06,-1.1123
2018-07-09,-0.9641
2018-07-10,5.4083
2018-07-11,-3.5403000000000002
2018-07-12,-2.1277
2018-07-13,0.5435
2018-07-16,-0.5405
2018-07-17,4.837
2018-07-18,1.4515
2018-07-19,-2.3505
2018-07-20,9.1052
2018-07-23,-3.0695
2018-07-24,5.7892
2018-07-25,-4.3499
2018-07-26,-3.3252
2018-07-27,-5.9181
2018-07-30,-2.0968
2018-07-31,-0.0549
2018-08-01,-0.7692
2018-08-02,-1.8826
2018-08-03,6.5463000000000005
2018-08-06,0.3708
2018-08-07,5.0132
2018-08-08,-0.5025
2018-08-09,-0.202
2018-08-10,3.7955
2018-08-13,3.1692
2018-08-14,18.242
2018-08-15,-3.0775
2018-08-16,-2.7216
2018-08-17,-2.2891
2018-08-20,7.3753
2018-08-21,0.3232
2018-08-22,3.1011
2018-08-23,3.125
2018-08-24,-2.3485
2018-08-27,1.7843
2018-08-28,-0.5145
2018-08-29,0.3639
2018-08-30,-2.6718
2018-08-31,0.7843
2018-09-04,0.5447
2018-09-05,1.4319
2018-09-06,-0.3815
2018-09-07,3.4087
2018-09-10,0.8519
2018-09-11,-0.8814
2018-09-12,0.8522
2018-09-13,-9.1844
2018-09-14,-6.4725
2018-09-17,0.6055
2018-09-18,2.2356
2018-09-19,-9.6299
2018-09-20,-2.5128
2018-09-21,-4.105
2018-09-24,0.1493
2018-09-25,-1.4910999999999999
2018-09-26,-6.3068
2018-09-27,-1.9386
2018-09-28,-3.4596
2018-10-01,-1.479
2018-10-02,3.1755
2018-10-03,0.6715
2018-10-04,2.0011
2018-10-05,3.5422000000000002
2018-10-08,3.6842
2018-10-09,1.1675
2018-10-10,-10.1355
2018-10-11,3.3501
2018-10-12,0.2161
2018-10-15,-2.4259
2018-10-16,8.895
2018-10-17,-1.5221
2018-10-18,6.7491
2018-10-19,-3.7645
2018-10-22,4.1123
2018-10-23,1.8786
2018-10-24,-0.2364
2018-10-25,2.891
2018-10-26,-3.7771
2018-10-29,0.8617
2018-10-30,2.7527
2018-10-31,1.2471
2018-11-01,1.5967
2018-11-02,4.2658
2018-11-05,2.4548
2018-11-06,-0.6305
2018-11-07,3.4687
2018-11-08,2.2077
