ticker,FLO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-01-03,-0.7619
2001-01-04,-0.8317
2001-01-05,-0.7742
2001-01-08,0.7802
2001-01-09,1.6129
2001-01-10,2.4127
2001-01-11,0.0
2001-01-12,-0.806
2001-01-16,-1.1875
2001-01-17,-1.5813000000000001
2001-01-18,0.0
2001-01-19,0.8355
2001-01-22,1.211
2001-01-23,0.0
2001-01-24,0.7557
2001-01-25,-0.75
2001-01-26,1.5743
2001-01-29,1.3639000000000001
2001-01-30,1.5291000000000001
2001-01-31,0.0
2001-02-01,-2.7108
2001-02-02,2.2291
2001-02-05,1.7565
2001-02-06,1.1905000000000001
2001-02-07,0.0
2001-02-08,-0.4118
2001-02-09,-0.1772
2001-02-12,2.7811
2001-02-13,0.0
2001-02-14,-0.6333
2001-02-15,-0.1738
2001-02-16,0.3482
2001-02-20,1.2146
2001-02-21,0.0
2001-02-22,-0.8
2001-02-23,0.4032
2001-02-26,-0.3442
2001-02-27,0.0
2001-02-28,-1.0363
2001-03-01,0.0
2001-03-02,0.0
2001-03-05,0.349
2001-03-06,0.0
2001-03-07,0.2899
2001-03-08,-0.1734
2001-03-09,0.0
2001-03-12,-1.7370999999999999
2001-03-13,0.0
2001-03-14,0.0589
2001-03-15,-0.1767
2001-03-16,-0.708
2001-03-19,-0.1783
2001-03-20,0.0
2001-03-21,0.8333
2001-03-22,-1.0626
2001-03-23,23.5084
2001-03-26,-6.8599
2001-03-27,7.9876000000000005
2001-03-28,-2.9779
2001-03-29,-2.0297
2001-03-30,1.5664
2001-04-02,4.2289
2001-04-03,-0.0477
2001-04-04,-0.4298
2001-04-05,3.8369
2001-04-06,-0.5543
2001-04-09,-1.3005
2001-04-10,2.1647
2001-04-11,-0.6909
2001-04-12,-0.0928
2001-04-16,1.0214
2001-04-17,4.2739
2001-04-18,-1.4544000000000001
2001-04-19,-0.9839
2001-04-20,0.3613
2001-04-23,4.8605
2001-04-24,3.3476
2001-04-25,3.4053
2001-04-26,0.4016
2001-04-27,6.4
2001-04-30,2.4436
2001-05-01,-0.6972
2001-05-02,0.5174
2001-05-03,-2.9044
2001-05-04,-0.0757
2001-05-07,2.3115
2001-05-08,-1.7778
2001-05-09,1.4329
2001-05-10,2.6394
2001-05-11,2.6802
2001-05-14,1.9752999999999998
2001-05-15,0.6918
2001-05-16,1.3397000000000001
2001-05-17,0.0339
2001-05-18,2.5415
2001-05-21,3.2056
2001-05-22,1.6971
2001-05-23,0.2834
2001-05-24,3.7677
