ticker,TAAI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-19,-90.0
2000-05-18,43650.0
2000-06-06,-99.7714
2000-10-10,0.0
2000-11-16,0.0
2000-12-20,900.0
2000-12-26,-90.0
2000-12-29,-87.5
2001-04-05,15900.0
2001-05-14,-95.0
2001-07-23,0.0
2001-11-06,-87.5
2002-06-18,700.0
2002-12-17,-87.5
2003-04-23,0.0
2003-10-01,0.0
2003-10-30,0.0
2004-03-19,0.0
2004-03-25,0.0
2004-05-03,0.0
2004-12-27,0.0
2005-01-05,32700.0
2005-01-19,0.0
2005-01-21,-99.6951
2006-10-02,0.0
2006-11-21,39900.0
2007-03-19,-99.75
2012-10-17,7899.9992
2013-01-16,0.0
2013-03-07,0.0
2013-05-31,0.0
2013-08-21,0.0
2016-02-05,0.0
2020-04-16,-33.3333
2020-04-20,150.0
2020-04-21,-20.0
2020-07-07,-6.25
