ticker,SMRH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-31,-90.0
2000-02-16,0.0
2000-03-15,0.0
2002-11-04,-87.5
2002-12-16,0.0
2003-10-01,0.0
2004-02-24,7900.0
2004-03-03,-98.75
2004-03-10,700.0
2004-03-29,-87.5
2004-05-28,0.0
2004-12-01,0.0
2004-12-10,0.0
2005-04-21,0.0
2007-01-22,0.0
2007-03-26,0.0
2007-04-02,0.0
2007-06-04,0.0
2007-08-23,0.0
2008-01-03,0.0
2008-05-22,0.0
2008-05-28,0.0
2008-07-09,0.0
2009-07-22,0.0
2009-08-13,700.0
2009-08-14,-87.5
2009-11-10,0.0
2009-12-03,0.0
2009-12-09,0.0
2009-12-21,0.0
2012-07-13,7900.0
2012-08-07,-98.75
2012-10-24,0.0
2015-03-31,-57.6
2018-11-07,-81.1321
2019-11-18,900.0
2019-12-16,-92.0
2020-04-17,-25.0
