ticker,VDPH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-11-04,63.3333
2011-11-10,22.449
2011-11-22,25.0
2011-11-23,0.0
2011-11-28,-1.3333
2011-11-29,294.5946
2011-12-06,-73.9726
2011-12-07,0.0
2011-12-09,2.6316
2011-12-14,-46.1538
2011-12-15,57.1429
2011-12-20,9.0909
2011-12-22,-16.6667
2011-12-23,0.0
2011-12-27,-20.0
2011-12-29,0.0
2011-12-30,0.0
2012-01-04,0.0
2012-01-06,0.0
2012-01-11,33.3333
2012-01-19,21.875
2012-01-27,0.0
2012-02-01,0.0
2012-02-29,-38.4615
2012-03-07,0.0
2012-03-14,41.6667
2012-03-15,0.0
2012-03-16,-23.5294
2012-03-26,46.1538
2012-04-16,-34.2105
2012-04-20,0.0
2012-04-30,12.0
2012-06-04,-28.5714
2012-06-08,-5.0
2012-06-11,-57.8947
2012-06-12,0.0
2012-06-13,0.0
2012-06-14,0.0
2012-06-27,25.0
2012-07-06,-20.0
2012-08-03,-25.0
2012-08-24,66.6667
2012-08-29,0.0
2012-09-04,0.0
2012-10-31,0.0
2012-11-12,-20.0
2012-11-16,0.0
2012-11-28,0.0
2012-12-06,50.0
2012-12-11,66.6667
2012-12-18,-10.0
2012-12-21,-55.5556
2013-01-04,0.0
2013-01-24,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-20,-25.0
2013-02-21,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-03-08,0.0
2013-03-11,-33.3333
2013-03-12,0.0
2013-04-18,0.0
2013-05-07,0.0
2013-05-17,-25.0
2013-06-25,100.0
2013-09-05,166.6667
2013-09-23,-12.5
2013-09-25,-28.5714
2013-09-27,40.0
2013-09-30,42.8571
2013-10-01,-20.0
2013-10-02,-12.5
2013-10-08,0.0
2013-10-10,14.2857
2013-10-11,-12.5
2013-10-14,0.0
2013-10-15,-15.7143
2013-10-17,-15.2542
2013-10-18,0.0
2013-10-24,0.0
2013-10-25,0.0
2013-11-01,-20.0
2013-11-05,0.0
2013-12-10,-25.0
2013-12-16,0.0
2013-12-17,0.0
2014-01-10,0.0
2014-03-18,-16.6667
2014-03-27,0.0
2014-03-31,20.0
2014-04-01,0.0
2014-05-23,-16.6667
2014-06-16,0.0
2014-06-30,-20.0
2014-07-11,50.0
2014-08-07,-33.3333
2014-09-25,0.0
2014-10-21,50.0
2014-10-30,0.0
2014-11-12,-33.3333
2014-12-12,0.0
2015-01-21,0.0
2015-02-10,0.0
