ticker,WTXR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-16,85.1852
2012-11-26,0.0
2012-11-27,20.0
2012-11-28,0.0
2012-11-29,0.0
2012-12-03,16.6667
2012-12-10,0.0
2012-12-11,14.2857
2012-12-18,-10.0
2012-12-20,11.1111
2012-12-21,-25.0
2012-12-27,0.0
2012-12-28,8.3333
2013-01-08,15.3846
2013-01-15,-33.3333
2013-01-18,50.0
2013-01-22,0.0
2013-01-30,0.0
2013-01-31,-33.3333
2013-02-01,50.0
2013-02-11,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,-20.0
2013-03-11,25.0
2013-03-15,-20.0
2013-03-28,25.0
2013-04-18,0.0
2013-04-29,-6.6667
2013-04-30,7.1429
2013-05-06,-8.0
2013-05-07,8.6957
2013-05-08,0.0
2013-05-30,0.0
2013-06-05,0.0
2013-06-14,-6.6667
2013-06-17,-14.2857
2013-06-24,-16.6667
2013-06-27,32.4375
2013-06-28,0.0
2013-07-01,13.261
2013-07-02,0.0
2013-07-09,-20.0
2013-07-10,25.0
2013-07-11,33.3333
2013-07-12,-10.0
2013-07-16,0.0
2013-07-19,-22.2222
2013-07-22,-14.2857
2013-07-24,23.3333
2013-07-25,-18.9189
2013-07-26,0.0
2013-07-31,0.0
2013-08-01,-10.3542
2013-08-05,4.1134
2013-08-06,33.9286
2013-08-08,-17.3333
2013-08-12,20.9677
2013-08-13,-25.3333
2013-08-14,33.9286
2013-08-15,-22.6667
2013-08-16,12.069
2013-08-19,0.0
2013-08-20,7.6923
2013-08-26,0.0
2013-08-28,7.1429
2013-08-29,-14.6667
2013-08-30,25.0
2013-09-06,-6.25
2013-09-10,0.0
2013-09-11,9.3333
2013-09-12,3.6585
2013-09-13,-9.4118
2013-09-17,10.3896
2013-09-18,5.8824
2013-09-19,0.0
2013-09-20,-5.5556
2013-09-23,0.0
2013-09-24,9.4118
2013-09-25,-3.2258
2013-09-26,11.1111
2013-09-30,-15.0
2013-10-03,0.0
2013-10-08,5.8824
2013-10-09,0.0
2013-10-11,11.1111
2013-10-15,0.0
2013-10-17,-5.0
2013-10-21,31.5789
2013-10-22,-20.0
2013-10-25,15.0
2013-10-30,0.0
2013-11-08,-26.087
2013-11-14,23.5294
2013-11-15,0.0
2013-11-18,-19.0476
2013-11-21,0.0
2013-11-25,5.8824
2013-11-27,-16.6667
2013-12-05,0.0
2013-12-12,6.6667
2013-12-19,-1.25
2013-12-20,1.2658
2013-12-23,-12.5
