ticker,AYX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-24,10.7143
2017-03-27,-1.7419
2017-03-28,-1.9698
2017-03-29,0.5358
2017-03-30,0.1332
2017-03-31,3.992
2017-04-03,2.6871
2017-04-04,-0.7477
2017-04-05,1.1927
2017-04-06,3.1638
2017-04-07,0.3608
2017-04-10,0.8987
2017-04-11,0.0594
2017-04-12,0.8902
2017-04-13,0.0
2017-04-17,-4.2353
2017-04-18,0.3686
2017-04-19,1.1016
2017-04-20,-6.1743
2017-04-21,-0.4516
2017-04-24,-4.083
2017-04-25,3.7838000000000003
2017-04-26,-1.237
2017-04-27,0.2637
2017-04-28,5.1282
2017-05-01,-0.2502
2017-05-02,4.8903
2017-05-03,1.9127
2017-05-04,6.0997
2017-05-05,4.4776
2017-05-08,-1.746
2017-05-09,-0.4847
2017-05-10,0.0
2017-05-11,2.7597
2017-05-12,-2.317
2017-05-15,-1.8868
2017-05-16,-3.7363
2017-05-17,-3.5959
2017-05-18,3.434
2017-05-19,1.9462000000000002
2017-05-22,5.9517
2017-05-23,1.4838
2017-05-24,-1.4621
2017-05-25,1.7488000000000001
2017-05-26,3.2813
2017-05-30,-6.1019
2017-05-31,1.2889
2017-06-01,3.0753
2017-06-02,5.2984
2017-06-05,-0.6351
2017-06-06,-4.6213999999999995
2017-06-07,-6.9588
2017-06-08,7.2022
2017-06-09,0.3618
2017-06-12,-3.1926
2017-06-13,3.0851
2017-06-14,-0.6192
2017-06-15,-2.3884
2017-06-16,-0.5851
2017-06-19,0.0
2017-06-20,1.3376000000000001
2017-06-21,1.7423
2017-06-22,-0.7784
2017-06-23,2.3536
2017-06-26,3.4236
2017-06-27,-3.7055
2017-06-28,1.2314
2017-06-29,-1.1151
2017-06-30,0.0513
2017-07-03,-0.2561
2017-07-05,1.5408
2017-07-06,-2.4785
2017-07-07,2.1784
2017-07-10,1.3197999999999999
2017-07-11,1.1522999999999999
2017-07-12,7.4294
2017-07-13,-0.6916
2017-07-14,2.9712
2017-07-17,-0.0451
2017-07-18,2.2553
2017-07-19,-0.9704
2017-07-20,-0.98
2017-07-21,-3.3288
2017-07-24,1.0703
2017-07-25,-1.151
2017-07-26,-1.0713
2017-07-27,-1.4123999999999999
2017-07-28,-2.8176
2017-07-31,-1.1302
2017-08-01,-1.7893
2017-08-02,-3.5425
2017-08-03,15.2676
2017-08-04,4.5972
2017-08-07,-0.8268
2017-08-08,-0.0878
2017-08-09,-2.7229
2017-08-10,-4.5147
