ticker,SNDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-03-03,0.0833
2016-03-04,-1.3322
2016-03-07,-7.173
2016-03-08,23.1818
2016-03-09,9.4465
2016-03-10,-10.2495
2016-03-11,-4.3576
2016-03-14,-5.7345
2016-03-15,2.4167
2016-03-16,-4.6379
2016-03-17,-4.0956
2016-03-18,2.4911
2016-03-21,3.3854
2016-03-22,11.7548
2016-03-23,-3.9068
2016-03-24,-1.3292
2016-03-28,7.4485
2016-03-29,-2.3599
2016-03-30,-4.9094
2016-03-31,5.7983
2016-04-01,-1.5766
2016-04-04,7.4752
2016-04-05,8.4457
2016-04-06,8.6387
2016-04-07,-1.0843
2016-04-08,-7.8563
2016-04-11,0.3305
2016-04-12,0.7905
2016-04-13,3.7255000000000003
2016-04-14,-1.5753
2016-04-15,0.7682
2016-04-18,-1.2071
2016-04-19,2.0579
2016-04-20,-0.063
2016-04-21,-0.8827
2016-04-22,0.5089
2016-04-25,-4.0506
2016-04-26,1.9129
2016-04-27,-6.7314
2016-04-28,-4.3026
2016-04-29,-0.7252
2016-05-02,8.4733
2016-05-03,-0.1347
2016-05-04,-5.327
2016-05-05,-0.2137
2016-05-06,3.4261
2016-05-09,-1.1732
2016-05-10,-3.5615
2016-05-11,-0.0724
2016-05-12,-2.8261
2016-05-13,-4.9216999999999995
2016-05-16,1.098
2016-05-17,-3.1808
2016-05-18,2.8045
2016-05-19,4.3648
2016-05-20,-1.0456
2016-05-23,7.9245
2016-05-24,0.0
2016-05-25,-4.0559
2016-05-26,2.6239
2016-05-27,-1.3494
2016-05-31,-1.0799
2016-06-01,-1.6012
2016-06-02,1.4053
2016-06-03,-3.7199
2016-06-06,4.5455
2016-06-07,3.1159
2016-06-08,0.0703
2016-06-09,-4.6348
2016-06-10,-3.0191
2016-06-13,-1.4426999999999999
2016-06-14,-2.5423999999999998
2016-06-15,-0.1581
2016-06-16,-0.1584
2016-06-17,-2.2998
2016-06-20,1.8669
2016-06-21,-7.3307
2016-06-22,-2.2356
2016-06-23,1.3193
2016-06-24,-7.4653
2016-06-27,-15.0094
2016-06-28,6.7329
2016-06-29,1.241
2016-06-30,0.6129
2016-07-01,0.7107
2016-07-05,-1.2097
2016-07-06,3.7755
2016-07-07,1.3766
2016-07-08,4.9467
2016-07-11,-2.1257
2016-07-12,7.6487
2016-07-13,-0.0877
2016-07-14,-1.1414
2016-07-15,5.595
2016-07-18,-0.2523
2016-07-19,-0.0843
2016-07-20,1.6034000000000002
