ticker,MSWV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-05,0.0
2019-12-06,2.4931
2019-12-13,-2.7027
2019-12-17,-1.3889
2019-12-20,0.0
2019-12-23,-2.8169
2019-12-30,-1.4493
2019-12-31,-2.8824
2020-01-02,2.9073
2020-01-03,-1.1183
2020-01-08,-0.5952
2020-01-13,4.6707
2020-01-16,-2.746
2020-02-19,0.0
2020-03-09,-0.0588
2020-03-11,0.0589
2020-03-23,1.1764999999999999
2020-04-08,-1.1628
2020-05-29,-8.2431
2020-06-01,4.918
2020-06-08,6.25
2020-06-19,-4.4118
2020-06-23,3.6923
2020-07-17,0.8902
2020-07-20,0.0
2020-07-28,-0.8824
2020-07-30,0.8902
