ticker,SYNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-13,31.6667
2005-01-14,13.9241
2005-01-18,0.0
2005-01-19,11.1111
2005-01-20,-10.0
2005-01-26,-1.1111
2005-01-27,12.3596
2005-01-28,19.0
2005-01-31,5.042
2005-02-01,12.0
2005-02-02,-1.4285999999999999
2005-02-03,-5.7971
2005-02-04,-3.0769
2005-02-08,0.0
2005-02-10,0.0
2005-02-11,3.1746
2005-02-14,-0.7692
2005-02-18,-2.3256
2005-02-22,-0.7937
2005-02-23,1.6
2005-02-28,-5.5118
2005-03-03,-5.0
2005-03-04,-21.0526
2005-03-07,11.1111
2005-03-11,20.0
2005-03-15,0.0
2005-03-16,0.0
2005-03-18,-0.8333
2005-03-31,0.8403
2005-04-04,-16.6667
2005-04-05,0.0
2005-04-06,19.0
2005-04-12,-0.1681
2005-04-20,-0.1684
2005-04-27,0.0
2005-06-06,-19.8988
2005-06-15,25.2632
2005-07-26,0.0
2005-08-08,-15.9664
2005-08-10,0.0
2005-08-15,0.0
2005-08-16,0.0
2005-08-17,0.0
2005-08-19,8.0
2005-08-26,1.8519
2005-09-06,4.5455
2005-09-15,-2.6087
2005-09-23,0.8929
2005-09-26,1.7699
2005-09-27,-2.6087
2005-10-03,0.0
2005-10-04,6.25
2005-10-07,0.0
2005-10-12,-7.563
2005-10-14,0.9091
2005-10-17,5.4054
2005-10-18,6.8376
2005-10-19,4.0
2005-10-21,0.0
2005-10-24,0.0
2005-10-28,-3.0769
2005-11-08,0.7937
2005-11-09,10.2362
2005-11-18,-7.1429
2005-11-22,11.538499999999999
2005-11-30,3.4483
2005-12-01,-13.3333
2005-12-12,0.0
2005-12-16,0.0
2005-12-19,-7.6923
2005-12-20,0.0
2005-12-23,0.0
2005-12-30,25.0
2006-01-11,-33.3333
2006-01-12,50.0
2006-01-13,-10.0
2006-01-18,11.1111
2006-01-19,6.6667
2006-01-20,6.25
2006-01-23,5.8824
2006-01-24,2.7778
2006-01-25,2.7027
2006-01-26,2.6316
2006-01-27,-2.5641
2006-01-31,-0.5263
2006-02-01,-4.7619
2006-02-02,0.0
2006-02-03,0.0
2006-02-06,2.7778
2006-02-07,-29.7297
2006-02-08,23.8462
2006-02-09,-19.2547
2006-02-10,15.3846
2006-02-13,-3.3333
2006-02-14,3.4483
2006-02-16,0.0
2006-02-17,6.6667
2006-02-21,-6.25
2006-02-23,3.3333
2006-02-28,-9.6774
2006-03-07,14.2857
2006-03-08,-15.625
2006-03-13,18.5185
