ticker,TRVI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-07,-21.1
2019-05-08,4.3093
2019-05-09,-1.5796000000000001
2019-05-10,2.0987999999999998
2019-05-13,-3.5067
2019-05-14,11.5288
2019-05-15,-2.4718999999999998
2019-05-16,-0.9217
2019-05-17,2.093
2019-05-20,2.5057
2019-05-21,0.3333
2019-05-22,-1.4396
2019-05-23,-2.6966
2019-05-24,4.157
2019-05-28,-2.1064
2019-05-29,1.5855000000000001
2019-05-30,1.5608
2019-05-31,9.6597
2019-06-03,1.3013
2019-06-04,-1.7787
2019-06-05,-2.8169
2019-06-06,-2.588
2019-06-07,-1.2752
2019-06-10,-16.0388
2019-06-11,4.359
2019-06-12,-2.3342
2019-06-13,-1.5093999999999999
2019-06-14,-3.576
2019-06-17,1.457
2019-06-18,10.0522
2019-06-19,12.6928
2019-06-20,-5.2632
2019-06-21,-4.7778
2019-06-24,-3.9673
2019-06-25,-4.0097
2019-06-26,0.3797
2019-06-27,-0.3783
2019-06-28,-5.0633
2019-07-01,-3.3333
2019-07-02,3.3103
2019-07-03,-4.0053
2019-07-05,8.344899999999999
2019-07-08,-3.7227
2019-07-09,-2.6667
2019-07-10,2.3288
2019-07-11,-3.4806
2019-07-12,2.6352
2019-07-15,-2.5676
2019-07-16,-1.5257
2019-07-17,0.0
2019-07-18,-9.8592
2019-07-19,1.5625
2019-07-22,-4.0
2019-07-23,5.9295
2019-07-24,-8.472
2019-07-25,-1.157
2019-07-26,1.8395000000000001
2019-07-29,-3.2841
2019-07-30,-5.6027000000000005
2019-07-31,8.0935
2019-08-01,-8.4859
2019-08-02,-9.2727
2019-08-05,-11.022
2019-08-06,10.1351
2019-08-07,-0.409
2019-08-08,2.4641
2019-08-09,-2.8056
2019-08-12,1.0309
2019-08-13,-7.1429
2019-08-14,6.8132
2019-08-15,-9.465
2019-08-16,5.4545
2019-08-19,-0.431
2019-08-20,3.4632
2019-08-21,4.6025
2019-08-22,4.6
2019-08-23,-8.2218
2019-08-26,7.0833
2019-08-27,-8.7549
2019-08-28,6.3966
2019-08-29,-3.4068
2019-08-30,2.9046
2019-09-03,-15.3226
2019-09-04,7.1429
2019-09-05,0.0
2019-09-06,6.8889
2019-09-09,3.9501
2019-09-10,-1.8
2019-09-11,-1.222
2019-09-12,-2.0619
2019-09-13,-1.6842000000000001
2019-09-16,-2.1413
2019-09-17,-3.9387
2019-09-18,9.1116
2019-09-19,-1.8789
2019-09-20,-1.0638
2019-09-23,-5.3763
