ticker,GIFX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-01-11,140.0
2012-01-27,68.3333
2012-01-30,112.8713
2012-02-10,6.9767
2012-02-13,-13.0435
2012-02-15,-25.0
2012-02-16,-16.6667
2012-02-17,-31.2
2012-02-21,-6.9767
2012-02-22,-18.75
2012-02-23,-52.3077
2012-02-28,9.6774
2012-03-14,0.0
2012-03-23,-20.5882
2012-03-28,-1.8519
2012-03-29,13.2075
2012-04-09,33.3333
2012-04-10,-2.5
2012-04-11,-33.3333
2012-04-12,0.0
2012-04-16,111.5385
2012-04-17,-27.2727
2012-04-18,625.0
2012-04-24,-41.3793
2012-05-02,-83.8235
2012-05-03,14.5455
2012-05-04,-39.6825
2012-05-07,-5.2632
2012-05-10,0.0
2012-05-16,0.0
2012-05-17,-5.5556
2012-05-18,5.8824
2012-05-22,0.0
2012-05-23,-54.8611
2012-05-24,23.0769
2012-05-25,-10.0
2012-05-29,0.0
2012-05-30,11.1111
2012-05-31,-25.0
2012-06-01,33.3333
2012-06-04,0.0
2012-06-05,-10.0
2012-06-06,22.2222
2012-06-07,-9.0909
2012-06-08,-30.0
2012-06-11,57.1429
2012-06-12,4.5455
2012-06-13,-3.2609
2012-06-18,-37.0787
2012-06-19,0.0
2012-06-22,0.0
2012-06-26,-28.5714
2012-06-27,100.0
2012-06-28,0.0
2012-06-29,-5.0
2012-07-09,-36.8421
2012-07-10,0.0
2012-07-11,-16.6667
2012-07-12,-13.75
2012-07-17,-2.8986
2012-07-18,114.9254
2012-07-19,-50.0
2012-07-20,-33.3333
2012-07-23,100.0
2012-07-24,50.0
2012-07-26,-27.7778
2012-07-27,23.0769
2012-07-31,-37.5
2012-08-02,20.0
2012-08-03,0.0
2012-08-07,0.0
2012-08-10,16.6667
2012-08-17,14.2857
2012-08-20,0.0
2012-08-21,0.0
2012-08-22,0.0
2012-08-23,0.0
2012-08-24,-12.5
2012-08-27,-54.4643
2012-08-28,56.8627
2012-08-29,60.0
2012-09-06,62.5
2012-09-07,30.7692
2012-09-10,-25.3676
2012-09-11,-7.8818
2012-09-12,-19.7861
2012-09-13,-4.0
2012-09-14,-7.6389
2012-09-17,-15.7895
2012-09-18,1.7856999999999998
2012-09-19,-4.386
2012-09-24,4.5872
2012-09-25,-31.5789
2012-09-26,5.1282
2012-10-09,9.7561
2012-10-17,-13.3333
2012-10-23,-48.7179
2012-10-24,-5.0
2012-10-26,18.4211
2012-10-31,95.5556
2012-11-01,0.0
2012-11-02,-27.2727
