ticker,MSM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,1.8868
2000-01-04,-13.8889
2000-01-05,7.5269
2000-01-06,2.5
2000-01-07,-6.8293
2000-01-10,12.0419
2000-01-11,21.028
2000-01-12,13.1274
2000-01-13,-3.7542999999999997
2000-01-14,4.2553
2000-01-18,-0.6803
2000-01-19,1.7123
2000-01-20,0.3367
2000-01-21,-3.6913
2000-01-24,-2.7875
2000-01-25,-4.3011
2000-01-26,2.6217
2000-01-27,-1.0949
2000-01-28,-12.1771
2000-01-31,4.2017
2000-02-01,2.0161
2000-02-02,2.7668
2000-02-03,-7.6923
2000-02-04,2.9167
2000-02-07,-0.8097
2000-02-08,-2.0408
2000-02-09,-3.75
2000-02-10,-1.7316
2000-02-11,-2.2026
2000-02-14,0.9009
2000-02-15,-4.0179
2000-02-16,0.0
2000-02-17,0.4651
2000-02-18,-3.2407
2000-02-22,4.7847
2000-02-23,-5.0228
2000-02-24,-0.9615
2000-02-25,12.6214
2000-02-28,0.431
2000-02-29,7.2961
2000-03-01,4.8
2000-03-02,-5.3435
2000-03-03,-4.4355
2000-03-06,-2.9536
2000-03-07,-1.3043
2000-03-08,-1.7621
2000-03-09,3.1390000000000002
2000-03-10,-0.4348
2000-03-13,-2.6201
2000-03-14,-1.7936999999999999
2000-03-15,2.2831
2000-03-16,8.0357
2000-03-17,9.0909
2000-03-20,-0.3788
2000-03-21,-3.4221
2000-03-22,0.0
2000-03-23,0.7874
2000-03-24,0.7813
2000-03-27,-6.9767
2000-03-28,0.8333
2000-03-29,3.3058
2000-03-30,3.2
2000-03-31,11.6279
2000-04-03,-1.0417
2000-04-04,-2.807
2000-04-05,-0.361
2000-04-06,2.1739
2000-04-07,-1.7730000000000001
2000-04-10,0.361
2000-04-11,-1.4388
2000-04-12,0.365
2000-04-13,0.0
2000-04-14,-5.8182
2000-04-17,-15.0579
2000-04-18,1.3636
2000-04-19,-1.7936999999999999
2000-04-20,2.2831
2000-04-24,-0.8929
2000-04-25,2.7027
2000-04-26,-3.5088
2000-04-27,0.0
2000-04-28,1.8182
2000-05-01,1.3393
2000-05-02,-0.8811
2000-05-03,0.0
2000-05-04,0.8889
2000-05-05,7.9295
2000-05-08,-0.4082
2000-05-09,0.0
2000-05-10,8.1967
2000-05-11,13.6364
2000-05-12,6.6667
2000-05-15,0.625
2000-05-16,4.0373
2000-05-17,1.791
2000-05-18,-6.1584
2000-05-19,6.25
2000-05-22,-1.1764999999999999
2000-05-23,0.2976
