ticker,NUKK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-05-11,0.0
2016-07-08,0.0
2016-09-23,-49.505
2016-09-28,0.0
2016-09-29,-23.5294
2016-10-04,-10.2564
2016-10-07,45.7143
2016-10-10,-70.7843
2016-10-11,0.6711
2016-10-12,-33.3333
2016-10-13,15.0
2016-10-14,30.4348
2016-10-17,-23.3333
2016-10-19,-4.3478
2016-10-20,-31.8182
2016-10-21,-20.0
2016-10-26,50.0
2016-10-27,0.0
2016-11-01,-33.3333
2016-11-02,-16.6667
2016-11-03,-40.0
2016-11-11,100.0
2016-11-17,33.125
2016-11-18,50.2347
2016-11-22,0.0
2016-11-23,0.0
2016-11-29,79.5833
2016-11-30,-30.3944
2016-12-01,-33.3333
2016-12-02,-10.0
2016-12-05,0.0
2016-12-08,11.1111
2016-12-09,0.0
2016-12-12,50.0
2016-12-13,-33.3333
2016-12-14,-5.0
2016-12-16,-4.2105
2016-12-19,9.8901
2017-01-12,0.0
2017-01-13,0.0
2017-01-23,20.0
2017-02-06,-16.6667
2017-02-09,0.0
2017-03-30,-10.0
2017-05-23,-11.1111
2017-06-27,0.0
2017-12-14,37.5
2017-12-15,18.1818
2017-12-18,-30.7692
2017-12-19,-11.1111
2018-01-30,-12.5
2018-05-25,0.0
2018-06-20,-42.8571
2018-08-02,25.0
2018-08-03,20.0
2019-02-22,0.0
2019-03-22,0.0
2019-04-05,0.0
2019-04-18,33.3333
2019-04-22,25.0
2019-05-20,20.0
2019-06-06,25.0
2019-06-07,66.6667
2019-06-26,-68.0
2019-08-06,-37.5
2019-09-25,10.0
2019-10-07,63.6364
2019-10-18,11.1111
2019-10-28,20.0
2019-10-30,-28.6667
2019-11-19,-47.4299
2020-01-07,-55.5556
2020-01-16,110.0
2020-01-21,42.8571
2020-01-22,150.0
2020-01-23,3.3333
2020-01-24,-14.7097
2020-01-27,51.2859
2020-01-29,-1.0
2020-01-30,-41.8687
2020-03-03,12.9453
2020-03-06,-11.538499999999999
2020-03-09,-13.0435
2020-04-20,-50.0
2020-04-22,0.0
2020-05-19,0.0
2020-07-08,40.0
