ticker,MORN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-03,8.3784
2005-05-04,7.7307
2005-05-05,4.8148
2005-05-06,-4.5936
2005-05-09,-3.8426
2005-05-10,2.0703
2005-05-11,3.066
2005-05-12,0.2288
2005-05-13,0.274
2005-05-16,0.0911
2005-05-17,-3.0937
2005-05-18,3.615
2005-05-19,2.628
2005-05-20,1.9868000000000001
2005-05-23,0.9957
2005-05-24,-1.1573
2005-05-25,-3.9029
2005-05-26,1.5794000000000001
2005-05-27,-2.1324
2005-05-31,-0.3631
2005-06-01,5.6492
2005-06-02,5.6059
2005-06-03,5.3083
2005-06-06,1.7449
2005-06-07,6.25
2005-06-08,-0.4663
2005-06-09,-1.3333
2005-06-10,-1.7530999999999999
2005-06-13,-0.1115
2005-06-14,2.3446
2005-06-15,2.5091
2005-06-16,1.4544000000000001
2005-06-17,0.3497
2005-06-20,-2.4042
2005-06-21,-0.9282
2005-06-22,-2.7387
2005-06-23,2.4454000000000002
2005-06-24,-2.8209999999999997
2005-06-27,0.856
2005-06-28,3.5793
2005-06-29,-2.2088
2005-06-30,2.5501
2005-07-01,-1.2433
2005-07-05,2.8777
2005-07-06,-0.6294
2005-07-07,-0.0704
2005-07-08,1.3732
2005-07-11,-1.1461999999999999
2005-07-12,-0.7027
2005-07-13,0.7431
2005-07-14,-1.2995999999999999
2005-07-15,0.0
2005-07-18,-0.2847
2005-07-19,-0.8208
2005-07-20,-2.1591
2005-07-21,-3.5307
2005-07-22,2.8212
2005-07-25,0.1483
2005-07-26,1.9622000000000002
2005-07-27,-2.106
2005-07-28,1.5579
2005-07-29,-0.9131
2005-08-01,0.9952
2005-08-02,1.0219
2005-08-03,-1.3728
2005-08-04,0.0
2005-08-05,-0.8059
2005-08-08,0.8493
2005-08-09,-0.3295
2005-08-10,15.907399999999999
2005-08-11,5.2298
2005-08-12,-0.6928
2005-08-15,-0.6673
2005-08-16,-0.6107
2005-08-17,-0.1229
2005-08-18,-0.0308
2005-08-19,1.2615
2005-08-22,0.3342
2005-08-23,-2.8165
2005-08-24,-0.2493
2005-08-25,-3.6239
2005-08-26,-4.6677
2005-08-29,-0.272
2005-08-30,-0.375
2005-08-31,4.1068
2005-09-01,-1.1506
2005-09-02,-4.2235
2005-09-06,0.4514
2005-09-07,-0.8642
2005-09-08,-3.7308
2005-09-09,0.1449
2005-09-12,2.2785
2005-09-13,1.4851
2005-09-14,-0.9408
2005-09-15,-0.0352
2005-09-16,2.6742
2005-09-19,1.4393
