ticker,TGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-05,35.0
2005-05-06,4.9794
2005-05-09,2.5088
2005-05-10,-1.912
2005-05-11,0.3119
2005-05-12,-0.6996
2005-05-13,-0.1957
2005-05-16,0.0
2005-05-17,3.3333
2005-05-18,-0.9488
2005-05-19,-0.728
2005-05-20,0.8491
2005-05-23,-1.0716
2005-05-24,0.2708
2005-05-25,0.0
2005-05-26,0.3086
2005-05-27,1.1538
2005-05-31,0.2662
2005-06-01,0.493
2005-06-02,0.3396
2005-06-03,0.0376
2005-06-06,-0.0376
2005-06-07,-0.7146
2005-06-08,-1.4394
2005-06-09,0.2306
2005-06-10,-0.8819
2005-06-13,-1.8569
2005-06-14,0.8277
2005-06-15,0.86
2005-06-16,4.6512
2005-06-17,0.6296
2005-06-20,1.3618000000000001
2005-06-21,0.472
2005-06-22,0.9035
2005-06-23,-0.394
2005-06-24,1.1865999999999999
2005-06-27,0.924
2005-06-28,0.1761
2005-06-29,-2.0035
2005-06-30,1.1478
2005-07-01,0.7092
2005-07-05,-0.1761
2005-07-06,-0.0353
2005-07-07,-0.494
2005-07-08,0.7092
2005-07-11,3.3451
2005-07-12,3.9182
2005-07-13,0.2623
2005-07-14,-2.8777
2005-07-15,-3.1313
2005-07-18,-2.2593
2005-07-19,1.6714
2005-07-20,1.4341
2005-07-21,1.7241
2005-07-22,0.678
2005-07-25,4.3098
2005-07-26,3.1311
2005-07-27,1.5649
2005-07-28,2.0031
2005-07-29,-0.5438
2005-08-01,0.2126
2005-08-02,4.5771
2005-08-03,1.2629000000000001
2005-08-04,-3.8905
2005-08-05,-3.1484
2005-08-08,-2.0433
2005-08-09,-3.6662
2005-08-10,3.2808
2005-08-11,-0.1588
2005-08-12,1.8454000000000002
2005-08-15,-0.9684
2005-08-16,-4.2587
2005-08-17,-2.8007
2005-08-18,3.0508
2005-08-19,3.9145
2005-08-22,1.7094
2005-08-23,0.0622
2005-08-24,-1.2442
2005-08-25,-0.4724
2005-08-26,-3.0696
2005-08-29,1.1427
2005-08-30,0.0646
2005-08-31,2.7419000000000002
2005-09-01,0.471
2005-09-02,2.1875
2005-09-06,-1.3761
2005-09-07,0.124
2005-09-08,-0.9291
2005-09-09,-0.2813
2005-09-12,-1.3166
2005-09-13,0.6989
2005-09-14,-2.0505
2005-09-15,-3.3816
2005-09-16,0.1
2005-09-19,2.7306
2005-09-20,-0.6483
2005-09-21,-1.6313
2005-09-22,1.8574000000000002
2005-09-23,-0.1954
