ticker,MJTV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-11-01,0.0
2012-11-02,50.0
2012-11-14,133.3333
2012-11-19,328.5714
2013-02-06,-41.3333
2013-02-07,70.4545
2013-02-08,0.0
2013-03-18,-16.6667
2013-04-04,-59.6
2013-04-09,98.0198
2013-04-17,-34.5
2013-04-18,-34.3511
2013-04-19,117.4419
2013-04-25,0.0
2013-05-29,0.0
2013-06-05,0.0
2013-07-05,-45.9893
2013-07-09,162.3762
2013-07-10,3.7736
2013-08-08,10.9091
2013-11-12,-9.8361
2013-11-21,-63.6364
2013-11-22,150.0
2014-02-03,-57.6
2014-02-05,153.7736
2014-05-01,-7.0632
2014-05-02,-30.0
2014-05-05,2.8571
2014-05-06,2.7778
2014-05-12,0.0
2014-05-13,0.0
2014-05-14,0.0
2014-05-16,0.0
2014-05-19,2.7027
2014-05-20,-2.6316
2014-05-21,5.4054
2014-05-22,2.5641
2014-05-23,0.0
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,2.5
2014-05-30,-2.439
2014-06-03,0.0
2014-06-04,-19.5
2014-06-05,11.8012
2014-06-06,-2.7778
2014-06-09,0.0
2014-06-10,-2.8571
2014-06-11,11.7647
2014-06-12,2.6316
2014-06-13,-2.5641
2014-06-16,-0.5263
2014-06-17,-13.7566
2014-06-18,13.4969
2014-06-19,-8.1081
2014-06-20,2.3529
2014-06-23,4.023
2014-06-24,-14.3646
2014-06-25,9.6774
2014-06-26,5.8824
2014-06-27,-19.4444
2014-06-30,2.069
2014-07-01,-2.027
2014-07-02,12.4138
2014-07-07,1.227
2014-07-08,7.2727
2014-07-09,0.0
2014-07-10,-23.7288
2014-07-11,0.0
2014-07-14,14.0741
2014-07-15,-9.0909
2014-07-16,3.5714
2014-07-17,-0.6897
2014-07-21,4.1667
2014-07-22,0.0
2014-07-23,-18.0
2014-07-24,17.0732
2014-07-29,-22.2222
2014-07-30,13.392900000000001
2014-08-06,-21.2598
2014-08-07,10.0
2014-08-11,-22.7273
2014-08-12,29.4118
2014-08-15,-9.0909
2014-08-19,18.0
2014-08-20,10.1695
2014-08-21,-0.7692
2014-08-25,8.5271
2014-08-27,-7.1429
2014-08-29,-57.3077
2014-09-05,0.0225
2014-09-08,0.0
2014-09-11,0.0
2014-09-12,0.0
2014-09-15,0.0
2014-09-17,-0.9232
2014-09-19,-9.0909
2014-09-22,-34.0
2014-09-30,27.2727
2014-10-01,-4.7619
2014-10-02,12.5
2014-10-03,-11.1111
2014-10-07,12.5
