ticker,ECDP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-09,6833.3333
2010-06-11,-29.2308
2010-06-15,41.3043
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,-0.7692
2010-06-21,24.031
2010-06-24,-7.5
2010-06-30,1.3514
2010-07-01,-1.3333
2010-07-07,1.3514
2010-07-13,-1.3333
2010-07-14,-16.2162
2010-07-15,20.9677
2010-07-16,-17.3333
2010-07-29,20.9677
2010-08-03,-18.6667
2010-08-18,14.7541
2010-08-26,-14.2857
2010-08-27,16.6667
2010-08-30,-1.4285999999999999
2010-09-03,-11.5942
2010-09-13,-13.1148
2010-09-14,0.0
2010-09-16,18.8679
2010-09-20,-34.9206
2010-09-21,29.2683
2010-09-22,-1.8868
2010-09-23,-3.8462
2010-09-24,0.0
2010-09-27,10.0
2010-09-28,0.0
2010-09-29,0.0
2010-09-30,0.0
2010-10-04,-1.8182
2010-10-06,-22.2222
2010-10-07,2.3810000000000002
2010-10-13,-25.5814
2010-10-14,1.5625
2010-10-28,4.6154
2010-11-09,0.0
2010-11-19,1.4706000000000001
2010-12-01,-39.1304
2010-12-16,57.1429
2010-12-22,-1.5152
2010-12-31,-53.8462
2011-02-17,53.3333
2011-02-23,-8.6957
2011-03-14,0.0
2011-03-21,23.8095
2011-04-25,0.0
2011-05-25,-3.8462
2011-06-09,-32.0
2011-06-21,0.0
2011-07-13,2.9412000000000003
2011-10-11,-37.1429
2011-10-12,4.5455
2011-10-18,-39.1304
2011-10-26,-14.2857
2011-11-10,8.3333
2011-11-22,-50.7692
2011-11-30,-81.25
2012-01-24,16.6667
2012-02-06,0.0
2012-05-11,0.0
2012-11-19,-98.2143
2013-01-23,50.0
2013-01-24,4700.0
2013-01-25,-77.7778
2013-02-01,1400.0
2013-02-05,-16.6667
2013-02-07,24.0
2013-02-11,0.0
2013-02-15,-3.2258
2013-02-19,-66.0417
2013-02-25,0.0
2013-03-08,488.9571
2013-03-12,-61.6667
2013-03-22,73.913
2013-04-04,-25.0
2013-04-11,233.3333
2013-04-18,0.0
2013-04-22,-40.0
2013-05-17,-16.6667
2013-06-19,0.0
2013-07-16,0.0
2013-07-23,0.0
2013-09-19,-60.0
2013-12-27,0.0
2013-12-31,0.0
2014-01-08,0.0
2014-01-30,250.0
2014-01-31,-14.2857
2014-02-03,33.3333
2014-02-04,-25.0
2014-02-05,16.6667
2014-02-07,42.8571
2014-02-10,-2.0
2014-02-11,-0.1276
2014-02-12,22.6054
2014-02-13,-17.5
