ticker,ARGW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-19,0.0
2000-03-01,900.0
2000-04-07,0.0
2000-04-14,100.0
2000-06-16,-95.0
2000-07-20,0.0
2000-07-21,2400.0
2000-08-07,-96.0
2000-08-09,0.0
2000-09-05,4900.0
2000-10-04,-80.0
2000-10-27,0.0
2000-11-08,0.0
2000-11-24,-90.0
2000-12-04,0.0
2000-12-11,0.0
2000-12-12,0.0
2000-12-18,0.0
2000-12-19,-87.5
2000-12-27,700.0
2000-12-28,0.0
2000-12-29,0.0
2001-01-02,0.0
2001-01-29,0.0
2001-03-30,0.0
2001-04-24,0.0
2001-05-02,2400.0
2001-05-18,-60.0
2001-06-04,-90.0
2001-06-19,0.0
2001-06-21,0.0
2001-08-03,0.0
2001-08-31,0.0
2001-10-22,0.0
2001-11-06,-87.5
2001-11-16,700.0
2001-11-28,0.0
2001-12-04,0.0
2001-12-17,0.0
2002-01-23,0.0
2002-02-28,-87.5
2002-05-10,700.0
2002-05-16,0.0
2002-05-28,0.0
2002-07-19,-87.5
2002-09-10,0.0
2002-10-28,0.0
2002-11-11,0.0
2002-12-20,0.0
2002-12-30,0.0
2003-03-04,0.0
2003-03-28,0.0
2003-04-07,0.0
2003-04-22,0.0
2003-06-09,0.0
2003-06-27,0.0
2003-08-07,0.0
2003-08-27,0.0
2003-10-01,0.0
2003-10-08,0.0
2003-10-23,0.0
2003-12-22,0.0
2003-12-30,0.0
2004-01-16,0.0
2004-01-30,0.0
2004-04-15,0.0
2004-06-29,0.0
2004-08-26,0.0
2004-08-30,0.0
2004-09-07,0.0
2004-12-16,0.0
2004-12-23,0.0
2005-01-10,0.0
2005-02-18,0.0
2005-02-22,0.0
2005-03-16,0.0
2005-03-22,0.0
2005-03-24,0.0
2005-03-31,7900.0
2005-04-18,-50.0
2005-04-19,0.0
2005-04-21,0.0
2005-05-16,0.0
2005-05-17,0.0
2005-05-23,-80.0
2005-06-16,0.0
2005-06-23,0.0
2005-06-24,4900.0
2005-07-01,-98.0
2005-08-03,6900.0
2005-08-04,-21.4286
2005-08-23,9.0909
2005-08-24,68.3333
2005-09-21,-95.0495
2005-10-26,20.0
2005-11-17,733.3333
2005-11-18,0.0
2005-11-23,-40.0
2005-11-29,50.0
2005-12-02,-33.3333
2005-12-12,0.0
2005-12-14,0.0
2005-12-15,0.0
2005-12-19,-33.3333
2005-12-30,0.0
2006-01-09,50.0
2006-01-11,-33.3333
2006-01-23,0.0
