ticker,INFG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-05,0.0
2000-01-10,0.0
2000-01-11,0.0
2000-01-12,0.0
2000-01-18,-6.25
2000-01-19,10.0
2000-01-20,-3.0303
2000-01-25,3.125
2000-01-26,-3.0303
2000-01-27,0.0
2000-02-01,0.0
2000-02-03,0.0
2000-02-04,-3.125
2000-02-09,0.0
2000-02-10,1.6129
2000-02-16,-1.5873
2000-02-22,6.4516
2000-02-28,-6.0606
2000-02-29,6.4516
2000-03-01,0.0
2000-03-02,-3.0303
2000-03-03,0.0
2000-03-06,0.0
2000-03-07,3.125
2000-03-08,0.0
2000-03-09,3.0303
2000-03-10,5.8824
2000-03-13,2.7778
2000-03-14,-5.4054
2000-03-15,2.8571
2000-03-16,2.7778
2000-03-20,2.7027
2000-03-21,-2.6316
2000-03-22,27.027
2000-03-23,-10.6383
2000-03-24,0.0
2000-03-27,-4.7619
2000-03-28,0.0
2000-03-29,5.0
2000-03-30,0.0
2000-04-04,-16.6667
2000-04-05,8.5714
2000-04-10,5.2632
2000-04-11,-5.0
2000-04-12,5.2632
2000-04-13,-0.4
2000-04-14,0.0
2000-04-17,-14.6586
2000-04-19,0.0
2000-04-20,2.9412000000000003
2000-04-25,2.8571
2000-04-26,2.7778
2000-05-01,5.4054
2000-05-02,-2.5641
2000-05-04,-0.6316
2000-05-08,-9.9576
2000-05-09,14.7059
2000-05-10,-2.5641
2000-05-18,-7.3684
2000-05-22,-0.5682
2000-05-24,2.8571
2000-05-30,0.0
2000-05-31,5.5556
2000-06-01,5.2632
2000-06-06,-0.4
2000-06-07,2.9116
2000-06-12,0.0
2000-06-14,0.0
2000-06-15,2.439
2000-06-21,0.0
2000-06-22,2.3810000000000002
2000-06-26,-2.3256
2000-06-28,0.0
2000-06-29,0.0
2000-06-30,4.7619
2000-07-06,-2.2727
2000-07-07,2.3256
2000-07-10,4.5455
2000-07-14,-13.0435
2000-07-17,1.25
2000-07-18,0.0
2000-07-21,0.0
2000-07-25,6.1728
2000-07-26,-11.6279
2000-07-28,7.8947
2000-08-02,0.0
2000-08-07,0.0
2000-08-08,0.0
2000-08-09,-1.2195
2000-08-10,6.1728
2000-08-14,-4.6512
2000-08-21,0.0
2000-08-22,2.2439
2000-08-24,0.0
2000-08-30,-0.7634
2000-09-01,-3.8462
2000-09-07,2.5
2000-09-14,-2.439
2000-09-21,10.0
2000-09-22,0.0
2000-09-25,0.0
2000-09-29,-3.0909
2000-10-10,3.1895
