ticker,SNTZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-04-05,140.0
2001-06-12,-33.3333
2001-06-28,7.5
2001-07-25,16.2791
2001-08-20,200.0
2001-08-22,66.6667
2001-08-30,-10.0
2001-09-04,-51.1111
2001-09-05,0.0
2001-09-10,59.0909
2001-09-17,0.0
2001-09-24,14.2857
2001-09-25,-7.5
2001-09-26,-2.7027
2001-09-27,33.3333
2001-09-28,-14.5833
2001-10-01,0.0
2001-10-03,-14.6341
2001-10-04,-5.7143
2001-10-05,3.0303
2001-10-10,5.8824
2001-10-12,-2.7778
2001-11-05,-2.8571
2001-11-06,-4.1176
2001-12-07,-37.4233
2002-02-19,145.098
2002-02-27,-59.6
2002-03-18,0.0
2002-04-05,0.0
2002-04-17,13.8614
2002-04-30,-47.8261
2002-05-01,0.0
2002-05-02,-15.0
2002-05-07,-50.9804
2002-05-10,0.0
2002-05-14,0.0
2002-05-17,0.0
2002-05-20,60.0
2002-05-22,0.0
2002-05-28,-50.0
2002-06-03,0.0
2002-06-04,25.0
2002-06-11,-40.0
2002-06-12,0.0
2002-06-13,0.0
2002-06-18,0.0
2002-06-19,0.0
2002-06-20,0.0
2002-07-30,0.0
2002-08-05,-33.3333
2002-08-06,-30.0
2002-08-07,42.8571
2002-08-16,-50.0
2002-08-20,30.0
2002-09-16,207.6923
2002-09-17,0.0
2002-09-19,0.0
2002-09-20,0.0
2002-09-23,10.0
2002-09-24,-9.0909
2002-09-25,0.0
2002-09-26,5.0
2002-09-27,0.0
2002-09-30,-2.3810000000000002
2002-10-01,2.439
2002-10-02,7.1429
2002-10-03,-4.4444
2002-10-04,48.8372
2002-10-07,59.375
2002-10-08,-11.7647
2002-10-09,0.0
2002-10-10,6.6667
2002-10-11,-1.0417
2002-10-14,3.1579
2002-10-15,8.1633
2002-10-16,3.7736
2002-10-17,-1.8182
2002-10-18,66.6667
2002-10-21,-11.1111
2002-10-22,6.25
2002-10-24,11.7647
2002-10-25,-2.1053
2002-10-28,2.6882
2002-10-29,-3.6649000000000003
2002-10-30,3.2609
2002-10-31,3.1579
2002-11-01,2.0408
2002-11-04,-60.0
2002-11-05,27.5
2002-11-06,-21.5686
2002-11-07,-12.5
2002-11-11,14.2857
2002-11-12,-10.0
2002-11-18,-30.5556
2002-11-19,0.0
2002-11-20,-40.0
2002-11-21,0.0
2002-11-22,20.0
2002-11-26,-27.7778
2002-11-27,-7.6923
2002-11-29,0.0
2002-12-02,-16.6667
2002-12-03,50.0
