ticker,GRUSF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-06-14,1400.0
2010-06-15,0.0
2010-06-16,0.0
2010-06-17,0.0
2010-06-18,6.6667
2010-06-23,25.0
2010-06-24,-20.0
2010-06-25,6.25
2010-06-28,18.8235
2010-06-29,0.0
2010-07-01,10.8911
2010-07-02,-9.8214
2010-07-09,-0.0124
2010-07-12,-5.929
2010-07-13,6.3158
2010-07-14,-5.9406
2010-07-15,6.3026
2010-07-16,0.0124
2010-07-23,-0.0124
2010-07-26,0.0124
2010-07-27,0.0
2010-07-29,-0.0124
2010-07-30,0.0124
2010-08-02,3.9604
2010-08-09,9.5238
2010-08-12,-8.6957
2010-08-13,9.5238
2010-08-16,2.6087
2010-08-18,-6.7797
2010-08-20,6.3636
2010-08-23,6.8376
2010-08-24,0.0
2010-08-25,0.0
2010-08-26,0.0
2010-08-27,-4.0
2010-08-30,0.0
2010-08-31,-3.3333
2010-09-01,-0.8621
2010-09-02,0.8696
2010-09-03,0.0
2010-09-07,2.5862
2010-09-08,0.0
2010-09-09,-0.8403
2010-09-10,-0.8475
2010-09-13,-0.8547
2010-09-14,1.7241
2010-09-15,-2.5423999999999998
2010-09-16,2.6087
2010-09-17,-0.8475
2010-09-20,-18.8034
2010-09-21,15.7895
2010-09-22,0.0
2010-09-23,-0.9091
2010-09-24,-22.0183
2010-09-28,28.2353
2010-09-29,-3.6696999999999997
2010-09-30,2.8571
2010-10-01,-0.463
2010-10-04,0.4651
2010-10-05,-2.7778
2010-10-06,-0.9524
2010-10-07,20.1923
2010-10-08,-3.2
2010-10-11,4.9587
2010-10-12,-1.5748
2010-10-13,4.0
2010-10-14,0.0
2010-10-15,0.0
2010-10-18,-0.7692
2010-10-19,0.7752
2010-10-20,6.1538
2010-10-21,21.7391
2010-10-22,5.9524
2010-10-25,-1.6854
2010-10-26,1.7143000000000002
2010-10-27,-1.6854
2010-10-28,0.5714
2010-10-29,1.7045
2010-11-01,0.0
2010-11-02,-1.6760000000000002
2010-11-03,0.5682
2010-11-04,1.6949
2010-11-05,0.0
2010-11-08,0.0
2010-11-09,-2.7778
2010-11-10,4.0
2010-11-11,-1.0989
2010-11-12,-5.0
2010-11-15,4.6784
2010-11-16,-6.7039
2010-11-17,0.5988
2010-11-18,-1.7856999999999998
2010-11-19,6.0606
2010-11-22,2.8571
2010-11-23,2.2222
2010-11-24,5.9783
2010-11-26,1.7949000000000002
2010-11-29,0.7557
2010-11-30,-2.5
2010-12-01,-5.1282
