ticker,CYCA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-29,0.0
2008-12-30,1.6667
2008-12-31,0.0
2009-01-05,1.6393
2009-01-06,0.0
2009-01-08,1.6129
2009-01-09,-0.3175
2009-01-14,0.3185
2009-01-15,0.0
2009-01-16,1.5873
2009-01-22,0.0
2009-01-26,-0.625
2009-01-27,0.6289
2009-01-28,0.0
2009-02-03,-1.5625
2009-02-05,-5.0794
2009-02-09,-16.388
2009-02-23,19.6
2009-02-26,0.3344
2009-02-27,0.0
2009-03-09,0.0
2009-03-13,0.0
2009-03-16,0.0
2009-03-19,-6.6667
2009-03-23,-1.7856999999999998
2009-03-31,-20.0
2009-04-01,-6.8182
2009-04-02,-50.731700000000004
2009-04-03,98.0198
2009-04-06,-25.0
2009-04-07,26.6667
2009-04-08,-7.8947
2009-04-09,0.0
2009-04-13,2.8571
2009-04-14,5.5556
2009-04-15,15.7895
2009-04-16,-2.2727
2009-04-17,-6.9767
2009-04-20,-10.5
2009-04-21,-85.4749
2009-04-22,15.3846
2009-04-23,-30.0
2009-04-24,-33.3333
2009-04-27,-53.6607
2009-04-28,-22.9287
2009-04-29,-18.0
2009-04-30,9.7561
2009-05-01,-0.2778
2009-05-04,-16.7131
2009-05-05,4.3478
2009-05-06,2.2436
2009-05-07,0.3135
2009-05-08,-15.0
2009-05-11,-11.7647
2009-05-12,13.3333
2009-05-14,17.647100000000002
2009-05-20,0.0
2009-05-28,-50.0
2009-05-29,50.0
2009-06-01,-33.3333
2009-06-03,0.0
2009-06-04,0.0
2009-06-05,-45.0
2009-06-08,172.7273
2009-06-09,33.3333
2009-06-10,7.5
2009-06-11,-6.9767
2009-06-12,0.0
2009-06-16,0.0
2009-06-17,0.0
2009-06-23,-40.0
2009-06-24,87.5
2009-06-25,-33.3333
2009-06-26,33.3333
2009-06-29,-25.0
2009-06-30,0.0
2009-07-01,-30.0
2009-07-09,4.7619
2009-07-10,13.6364
2009-07-14,0.0
2009-07-17,80.0
2009-07-20,-35.5556
2009-07-21,3.4483
2009-07-22,-50.0
2009-07-23,100.0
2009-07-24,-49.5833
2009-07-27,5.7851
2009-07-28,87.5
2009-07-30,0.0
2009-07-31,-33.3333
2009-08-03,50.0
2009-08-05,0.0
2009-08-10,66.6667
2009-08-13,20.0
2009-08-14,-45.8333
2009-08-17,-19.2308
2009-08-18,0.0
2009-08-19,-9.5238
2009-08-20,0.0
2009-08-21,0.0
2009-08-24,-5.2632
2009-08-25,0.0
