ticker,ESRT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-02,0.7692
2013-10-03,0.7634
2013-10-04,-0.3788
2013-10-07,1.0646
2013-10-08,-0.0752
2013-10-09,-0.0753
2013-10-10,0.8289
2013-10-11,1.6442
2013-10-14,0.2206
2013-10-15,0.3668
2013-10-16,-0.0731
2013-10-17,1.6825
2013-10-18,0.3597
2013-10-21,-0.0717
2013-10-22,-0.9326
2013-10-23,1.3758
2013-10-24,0.6429
2013-10-25,3.2647
2013-10-28,-1.0309
2013-10-29,-1.5972
2013-10-30,-1.6231
2013-10-31,1.5065
2013-11-01,-0.9894
2013-11-04,0.6424
2013-11-05,-0.9929
2013-11-06,0.2865
2013-11-07,-1.9285999999999999
2013-11-08,-1.6023
2013-11-11,0.0
2013-11-12,1.0363
2013-11-13,2.8571
2013-11-14,1.3533
2013-11-15,-0.2108
2013-11-18,-1.338
2013-11-19,-0.4996
2013-11-20,0.5022
2013-11-21,0.3569
2013-11-22,-1.3514
2013-11-25,0.7931
2013-11-26,0.7153
2013-11-27,2.4858000000000002
2013-11-29,0.1386
2013-12-02,-1.1764999999999999
2013-12-03,-1.8908
2013-12-04,3.212
2013-12-05,0.2075
2013-12-06,-0.6901
2013-12-09,1.4593
2013-12-10,-0.9589
2013-12-11,-2.8354
2013-12-12,0.9217
2013-12-13,1.9149
2013-12-16,0.8351
2013-12-17,0.6211
2013-12-18,2.7435
2013-12-19,-0.2003
2013-12-20,4.0134
2013-12-23,-1.0289
2013-12-24,-0.2599
2013-12-26,-0.1954
2013-12-27,-0.6527
2013-12-30,0.3942
2013-12-31,0.1309
2014-01-02,-2.4183
2014-01-03,-0.4689
2014-01-06,0.9421
2014-01-07,0.5333
2014-01-08,0.4642
2014-01-09,-0.33
2014-01-10,0.7285
2014-01-13,-1.7094
2014-01-14,-0.2676
2014-01-15,0.6036
2014-01-16,0.0
2014-01-17,-0.8667
2014-01-21,0.7397
2014-01-22,-0.8011
2014-01-23,-0.7402
2014-01-24,-0.4746
2014-01-27,-0.6131
2014-01-28,0.4112
2014-01-29,-1.2969
2014-01-30,1.1757
2014-01-31,0.2051
2014-02-03,-2.1828
2014-02-04,0.0697
2014-02-05,-1.115
2014-02-06,1.9731999999999998
2014-02-07,1.244
2014-02-10,-0.6826
2014-02-11,0.6873
2014-02-12,-0.0683
2014-02-13,-0.4781
2014-02-14,0.6863
2014-02-18,1.2952
2014-02-19,0.6057
2014-02-20,-0.1338
2014-02-21,0.2009
