ticker,CNBN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-01-03,-0.7447
2019-01-10,0.7503
2019-01-14,17.0213
2019-01-23,-13.5909
2019-01-24,-0.0526
2019-02-20,2.6316
2019-03-19,0.5155
2019-04-15,2.5641
2019-05-06,-5.0
2019-05-08,0.0
2019-05-10,0.0
2019-05-15,0.0
2019-05-16,0.0
2019-06-10,-1.2631999999999999
2019-06-17,0.5359
2019-07-26,0.0
2019-07-31,1.2793
2019-08-09,-1.3158
2019-08-21,0.5333
2019-08-23,-0.5305
2019-09-11,0.3733
2019-09-24,0.9615
2019-09-30,-0.2646
2019-10-09,0.7427
2019-10-11,-0.6319
2019-10-18,0.424
2019-10-24,-1.0554
2019-10-28,0.7467
2019-11-01,0.3176
2019-11-05,0.0
2019-11-08,0.0
2019-11-14,-0.7916
2019-11-18,0.0
2019-11-19,-0.266
2019-11-25,-0.2667
2019-11-26,0.0
2019-11-27,-0.3209
2019-12-04,-3.4335
2019-12-09,0.5556
2019-12-10,1.3812
2019-12-17,-1.0417
2019-12-18,1.1634
2019-12-31,-2.0263
2020-01-02,0.0
2020-01-21,1.3974
2020-01-23,1.4333
2020-01-24,-1.6303999999999998
2020-01-28,-0.2762
2020-01-30,0.277
2020-02-04,0.5525
2020-02-05,0.2747
2020-02-10,0.3288
2020-02-24,0.3277
2020-02-25,-0.9254
2020-03-03,0.0
2020-03-04,0.0
2020-03-09,-1.0989
2020-03-16,-5.5556
2020-03-17,-1.4706000000000001
2020-03-18,-1.1343
2020-03-20,-2.7356
2020-03-24,-2.5
2020-04-02,0.9615
2020-04-03,1.5873
2020-04-13,0.0
2020-04-14,0.625
2020-04-28,0.3106
2020-05-12,0.0
2020-05-20,0.0
2020-05-27,0.0
2020-06-01,0.0
2020-06-02,0.3096
2020-06-15,0.3086
2020-06-16,0.9231
2020-06-17,0.0
2020-06-19,-0.2455
2020-06-26,0.0
2020-07-02,0.0
2020-07-14,-1.2308
2020-07-23,0.3115
