ticker,PTOP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-29,0.0
2012-02-24,1090.4762
2012-02-27,60.0
2012-03-02,-49.5
2012-03-27,-25.7426
2012-04-02,0.0
2012-04-03,0.0
2012-04-04,0.0
2012-04-05,0.0
2012-04-09,0.0
2012-04-10,0.0
2012-04-12,0.0
2012-04-13,0.0
2012-04-16,0.0
2012-04-17,0.0
2012-04-18,0.0
2012-04-19,0.0
2012-04-20,0.0
2012-04-23,0.0
2012-04-24,0.0
2012-04-25,13.3333
2012-04-26,-4.7059
2012-04-27,14.8148
2012-04-30,12.9032
2012-05-01,-5.7143
2012-05-02,3.0303
2012-05-03,1.4706000000000001
2012-05-04,1.4493
2012-05-07,-8.5714
2012-05-08,-5.2083
2012-05-09,5.4945
2012-05-10,-6.25
2012-05-11,4.4444
2012-05-14,3.1915
2012-05-15,-7.2165
2012-05-16,0.0
2012-05-17,0.0
2012-05-18,-8.8889
2012-05-21,0.0
2012-05-22,-8.5366
2012-05-23,0.0
2012-05-24,0.0
2012-05-25,0.0
2012-05-29,0.0
2012-05-30,0.0
2012-05-31,0.0
2012-06-01,0.0
2012-06-04,0.0
2012-06-05,0.0
2012-06-07,0.0
2012-06-08,0.0
2012-06-12,0.0
2012-06-14,0.0
2012-06-15,0.0
2012-06-18,0.0
2012-06-19,0.0
2012-06-20,0.0
2012-06-22,0.2417
2012-06-26,-0.2411
2012-06-27,0.0
2012-06-28,0.0
2012-07-05,0.0
2012-07-06,0.0
2012-07-11,-5.7333
2012-07-12,5.3748000000000005
2012-07-13,0.6711
2012-07-17,-6.6667
2012-07-18,0.0
2012-07-30,-21.4286
2012-07-31,0.0
2012-08-08,-27.2727
2012-08-09,0.0
2012-08-10,0.0
2012-08-14,0.0
2012-08-15,67.5
2012-08-24,-4.4776
2012-09-10,-7.8125
2012-09-14,-40.678
2012-09-21,0.0
2012-10-10,0.0
2012-11-16,0.0
2012-11-19,0.0
2012-11-21,-2.8571
2012-11-29,2.9412000000000003
2012-11-30,0.0
2012-12-04,20.0
2012-12-05,2.8571
2012-12-06,8.8252
2012-12-07,1.8878
2012-12-10,-5.8455
2012-12-11,11.3082
2012-12-12,11.1554
2012-12-13,10.0358
2012-12-14,-52.7687
2012-12-17,-55.1293
2012-12-18,15.2738
2012-12-19,-13.3333
2012-12-20,-7.6923
2012-12-21,-25.8333
2012-12-24,4.4944
2012-12-26,7.3925
2012-12-27,-14.8936
2012-12-28,-11.6176
2012-12-31,6.4892
