ticker,STNT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-05-23,-3.4483
2012-05-24,7.1429
2012-05-25,5.5556
2012-05-29,5.2632
2012-05-30,-2.0
2012-05-31,-2.0408
2012-06-01,1.0417
2012-06-04,-5.6701
2012-06-05,0.4372
2012-06-06,-1.5234
2012-06-07,7.1823
2012-06-08,0.0
2012-06-11,5.1546
2012-06-12,-11.7647
2012-06-13,-33.3333
2012-06-14,-20.0
2012-06-15,16.6667
2012-06-18,8.9286
2012-06-19,-4.918
2012-06-20,3.2759
2012-06-21,-6.5109
2012-06-22,3.5714
2012-06-25,-37.931
2012-06-26,13.8889
2012-06-27,2.439
2012-06-28,-14.2857
2012-06-29,2.7778
2012-07-02,-10.8108
2012-07-03,9.0909
2012-07-05,11.1111
2012-07-06,-2.5
2012-07-09,-10.2564
2012-07-10,-5.7143
2012-07-11,-3.0303
2012-07-12,-4.6875
2012-07-13,-8.1967
2012-07-16,0.0
2012-07-17,25.0
2012-07-18,8.5714
2012-07-19,-13.1579
2012-07-20,-9.0909
2012-07-23,10.0
2012-07-24,3.0303
2012-07-25,0.0
2012-07-26,-2.9412000000000003
2012-07-27,-9.0909
2012-07-30,6.6667
2012-07-31,0.0
2012-08-01,-6.25
2012-08-02,3.3333
2012-08-03,-3.2258
2012-08-06,-3.3333
2012-08-07,-3.4483
2012-08-08,0.0
2012-08-09,10.7143
2012-08-10,3.2258
2012-08-13,0.0
2012-08-14,-12.5
2012-08-15,7.1429
2012-08-16,0.0
2012-08-17,-6.6667
2012-08-20,10.7143
2012-08-21,-19.3548
2012-08-22,12.0
2012-08-23,0.0
2012-08-24,0.0
2012-08-27,-8.9286
2012-08-29,5.8824
2012-08-30,3.3333
2012-08-31,-8.6022
2012-09-04,-13.7255
2012-09-05,13.6364
2012-09-06,-12.0
2012-09-07,4.5455
2012-09-10,-8.6957
2012-09-11,-4.7619
2012-09-12,-5.0
2012-09-13,0.0
2012-09-14,0.0
2012-09-18,0.0
2012-09-19,-7.8947
2012-09-20,-14.2857
2012-09-21,0.0
2012-09-24,0.6667
2012-09-25,0.0
2012-09-26,58.2781
2012-09-27,-4.1841
2012-09-28,-12.6638
2012-10-03,14.5
2012-10-04,-23.5808
2012-10-05,14.2857
2012-10-08,15.0
2012-10-10,-8.6957
2012-10-11,0.0
2012-10-12,-52.381
2012-10-15,-40.0
2012-10-16,33.3333
2012-10-17,-12.5
2012-10-18,0.0
2012-10-19,-17.1429
2012-10-22,89.6552
2012-10-23,0.0
