ticker,KROS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-04-08,25.5
2020-04-09,7.4203
2020-04-13,7.6959
2020-04-14,18.3384
2020-04-15,-1.1277
2020-04-16,-0.2241
2020-04-17,-1.5453999999999999
2020-04-20,4.8689
2020-04-21,-3.3571
2020-04-22,5.6171
2020-04-23,3.1141
2020-04-24,3.8005
2020-04-27,-0.6211
2020-04-28,1.6447
2020-04-29,-3.0097
2020-04-30,-1.4014
2020-05-01,-2.5381
2020-05-04,0.7639
2020-05-05,-0.7581
2020-05-06,-3.2639
2020-05-07,-3.6253
2020-05-08,1.9926
2020-05-11,-0.3834
2020-05-12,8.6877
2020-05-13,-3.0354
2020-05-14,-1.9826000000000001
2020-05-15,1.4904
2020-05-18,-0.8566
2020-05-19,-3.3327
2020-05-20,0.8756
2020-05-21,-1.1935
2020-05-22,-0.0366
2020-05-26,-2.0139
2020-05-27,6.2033
2020-05-28,-1.4778
2020-05-29,2.6429
2020-06-01,2.6444
2020-06-02,8.4068
2020-06-03,7.6923
2020-06-04,-6.446
2020-06-05,-1.2104
2020-06-08,10.2733
2020-06-09,2.0228
2020-06-10,-0.8098
2020-06-11,-5.0676
2020-06-12,1.72
2020-06-15,3.6734999999999998
2020-06-16,1.0686
2020-06-17,-1.8086
2020-06-18,4.1938
2020-06-19,4.7593
2020-06-22,-2.2586
2020-06-23,6.7995
2020-06-24,-3.0092
2020-06-25,3.5641
2020-06-26,-4.3575
2020-06-29,-1.6309
2020-06-30,-1.2894999999999999
2020-07-01,-2.7993
2020-07-02,-1.8102
2020-07-06,-3.2961
2020-07-07,-2.6285
2020-07-08,2.0469
2020-07-09,-2.8198
2020-07-10,-2.0341
2020-07-13,-5.9542
2020-07-14,1.2987
2020-07-15,-3.9744
2020-07-16,4.2056000000000004
2020-07-17,-3.6835
2020-07-20,-1.8291
2020-07-21,-0.3726
2020-07-22,-0.612
2020-07-23,-4.6528
2020-07-24,-2.9781
2020-07-27,9.9852
2020-07-28,-2.8245
2020-07-29,5.3286999999999995
2020-07-30,0.657
2020-07-31,4.765
