ticker,WEUM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-12-12,0.0
2003-10-02,700.0
2003-10-23,0.0
2003-12-11,-87.5
2004-11-16,0.0
2004-12-06,0.0
2005-02-11,0.0
2007-04-04,0.0
2007-04-10,0.0
2007-05-18,0.0
2007-07-10,0.0
2007-08-14,0.0
2007-09-05,0.0
2008-01-10,0.0
2008-01-11,0.0
2008-09-30,0.0
2009-01-12,0.0
2009-02-27,0.0
2009-03-02,0.0
2009-04-17,0.0
2009-05-19,0.0
2009-07-13,0.0
2009-09-30,0.0
2009-11-24,0.0
2009-11-25,0.0
2009-12-29,0.0
2010-05-03,0.0
2010-08-05,0.0
2011-04-15,0.0
2011-08-30,0.0
2013-05-16,-20.0
2014-01-03,25.0
2014-02-19,0.0
2016-08-08,0.0
2017-09-26,-99.2
2018-09-11,900.0
2018-12-19,0.0
2019-12-23,900.0
2019-12-24,0.0
