ticker,NWPP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-01-12,-50.0
2012-05-07,-30.0
2012-06-29,0.0
2012-09-12,0.0
2012-09-13,1.9048
2013-01-02,16.822400000000002
2013-01-03,20.0
2013-01-17,3.3333
2013-01-24,3.2258
2013-01-30,6.25
2013-02-05,2.9412000000000003
2013-03-08,-13.7143
2013-06-06,-10.596
2013-06-17,-3.7037
2013-07-08,23.0769
2013-07-24,0.0
2013-07-31,21.875
2013-08-01,-5.1282
2013-08-05,8.1081
2013-08-12,10.0
2013-08-21,-26.8182
2013-08-26,-6.8323
2013-09-11,0.0
2013-10-31,13.3333
2013-11-01,-11.7647
2013-11-05,-6.6667
2013-11-08,-28.5714
2013-11-11,0.0
2013-11-14,0.0
2013-11-19,0.0
2013-12-12,0.0
2013-12-26,0.0
2014-01-06,0.0
2014-01-30,0.0
2014-03-12,34.0
2014-05-02,-0.7463
2014-05-05,-13.5338
2014-05-09,-2.6087
2014-05-14,0.0
2014-05-15,-1.7856999999999998
2014-05-20,1.8182
2014-05-28,2.6786
2014-06-16,-4.3478
2014-06-17,4.5455
2014-06-23,-4.3478
2014-07-31,9.0909
2014-08-01,-7.5
2014-08-04,3.6036
2014-08-07,0.0
2014-08-18,4.3478
2014-08-21,13.3333
2014-08-25,10.2941
2014-08-29,0.0
2014-09-02,-20.0
2014-09-16,25.0
2014-09-19,-26.6667
2014-10-02,13.6364
2014-10-14,0.0
2014-10-20,-0.8
2014-10-31,0.0
2014-11-28,0.8065
2014-12-10,0.0
2014-12-15,0.8
2015-01-21,0.0
2015-03-02,0.0
2015-03-06,3.1746
2015-03-27,10.7692
2015-03-31,11.1111
2015-04-30,-6.25
2015-05-06,-3.3333
2015-05-26,0.0
2015-05-28,0.0
2015-07-28,-3.4483
2015-07-31,7.1429
2015-08-17,0.0
2015-08-19,-6.6667
2015-09-02,7.1429
2015-09-16,0.0
2015-09-17,-13.3333
2015-10-09,7.6923
2015-10-27,7.1429
2015-11-13,6.6667
2015-11-16,-6.25
2015-11-19,3.3333
2015-12-02,-5.8065
2015-12-04,15.0685
2015-12-07,0.5952
2015-12-10,-10.9467
2015-12-21,0.3322
2016-01-13,2.649
2016-02-11,-3.2258
2016-02-18,0.0
2016-02-19,-3.3333
2016-02-26,2.7586
2016-03-07,0.6711
2016-03-28,-9.3333
2016-03-29,8.8235
2016-03-30,-5.4054
2016-03-31,10.7143
2016-05-04,-3.2258
2016-05-06,-6.0
2016-05-11,1.4184
