ticker,RVMD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-02-13,70.0
2020-02-14,-2.0415
2020-02-18,2.6139
2020-02-19,4.5783000000000005
2020-02-20,2.0408
2020-02-21,-1.871
2020-02-24,0.9204
2020-02-25,4.4625
2020-02-26,3.43
2020-02-27,-3.0449
2020-02-28,-2.7674
2020-03-02,5.0208
2020-03-03,0.8831
2020-03-04,2.8675
2020-03-05,-3.2277
2020-03-06,-3.0928
2020-03-09,-0.4068
2020-03-10,-8.8596
2020-03-11,2.2751
2020-03-12,-17.2902
2020-03-13,0.978
2020-03-16,-19.2897
2020-03-17,1.7
2020-03-18,-0.885
2020-03-19,12.252
2020-03-20,2.6955
2020-03-23,-2.4096
2020-03-24,7.3633
2020-03-25,6.6119
2020-03-26,-2.8505000000000003
2020-03-27,-10.8644
2020-03-30,-0.6673
2020-03-31,-1.8809
2020-04-01,-10.3149
2020-04-02,13.0789
2020-04-03,5.4455
2020-04-06,1.1097
2020-04-07,0.2533
2020-04-08,-1.6421000000000001
2020-04-09,1.2414
2020-04-13,0.3383
2020-04-14,0.0421
2020-04-15,-12.1735
2020-04-16,6.6187000000000005
2020-04-17,3.4638
2020-04-20,9.6087
2020-04-21,1.904
2020-04-22,2.5302
2020-04-23,5.5429
2020-04-24,-3.9209
2020-04-27,10.2209
2020-04-28,5.1291
2020-04-29,8.6591
2020-04-30,-7.0175
2020-05-01,-5.6924
2020-05-04,-0.6443
2020-05-05,16.5188
2020-05-06,6.2976
2020-05-07,4.5743
2020-05-08,-1.8709
2020-05-11,1.7723
2020-05-12,-4.6702
2020-05-13,-4.8159
2020-05-14,4.5071
2020-05-15,-5.5648
2020-05-18,9.34
2020-05-19,-6.575
2020-05-20,3.6343
2020-05-21,-0.1948
2020-05-22,-7.2225
2020-05-26,1.0821
2020-05-27,-6.5418
2020-05-28,-3.7862
2020-05-29,1.5873
2020-06-01,9.3099
2020-06-02,0.5658
2020-06-03,-0.5034
2020-06-04,-1.6964000000000001
2020-06-05,-0.545
2020-06-08,8.067
2020-06-09,-1.1831
2020-06-10,-3.5063
2020-06-11,-3.1315
2020-06-12,10.0335
2020-06-15,7.7051
2020-06-16,-2.1359
2020-06-17,-3.8391
2020-06-18,3.9103
2020-06-19,-0.9211
2020-06-22,4.4887
2020-06-23,-10.9304
2020-06-24,-4.2237
2020-06-25,1.5793
2020-06-26,-7.7735
2020-06-29,-2.8308
2020-06-30,3.3388
2020-07-01,3.1042
2020-07-02,-4.7312
2020-07-06,-4.9984
2020-07-07,-11.4732
2020-07-08,3.5276
2020-07-09,2.4444
2020-07-10,10.2314
2020-07-13,-8.1666
2020-07-14,-9.2857
2020-07-15,2.4016
2020-07-16,-2.4606
2020-07-17,0.1577
2020-07-20,-3.1877
2020-07-21,-0.7724
2020-07-22,3.2773
2020-07-23,3.1337
2020-07-24,-5.1923
2020-07-27,3.8945
2020-07-28,-2.3819
2020-07-29,-6.2
2020-07-30,-3.5821
2020-07-31,6.6785
