ticker,VPRB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-03-04,1263.6364
2011-06-01,0.0
2011-06-13,0.0
2011-07-13,-32.6667
2011-08-12,395.0495
2014-01-02,25.0
2014-01-03,44.0
2014-01-07,11.1111
2014-01-13,0.0
2014-03-04,100.0
2014-03-06,-40.0
2014-03-13,66.6667
2014-03-25,-5.0
2014-03-26,5.2632
2014-03-28,-25.0
2014-04-08,-40.0
2014-04-10,-8.3333
2014-04-11,-3.0303
2014-04-25,0.0
2014-05-02,112.5
2014-05-06,11.7647
2014-05-12,5.2632
2014-06-13,-35.0
2014-07-01,15.3846
2014-07-21,-20.0
2014-07-22,0.0
2014-07-23,4.1667
2014-08-01,20.0
2014-09-09,-20.0
2014-10-06,-8.3333
2014-10-15,-9.0909
2014-11-28,0.0
2014-12-18,0.0
2014-12-24,-30.0
2015-04-02,14.2857
2015-06-04,-25.0
2015-06-09,-30.8333
2015-06-17,-27.7108
2015-07-06,-33.3333
2015-07-13,5.5
2015-07-14,-28.91
2015-08-07,0.0
2016-02-19,-33.3333
2016-03-11,1.0
2016-03-31,-45.5446
2016-04-12,-36.3636
2016-06-13,-28.5714
2016-07-01,300.0
2016-08-03,-21.5
2016-08-04,-10.828
2016-08-22,-9.1429
2016-08-23,-18.239
2016-08-24,36.5385
2016-08-26,-23.9437
2016-09-01,-28.8889
2016-09-06,73.1771
2016-09-09,-33.5338
2016-09-23,-16.2896
2016-09-26,8.1081
2016-10-03,162.5
2016-10-04,-19.0476
2016-10-06,-35.2941
2016-10-18,-10.4545
2016-10-20,11.6751
2016-10-21,0.0
2016-10-28,-40.9091
2016-11-01,23.0769
2016-11-03,62.5
2016-11-04,0.0
2016-11-07,4.6154
2016-11-08,-8.8235
2016-11-09,-11.2903
2016-11-10,-22.7045
2016-11-11,5.8512
2016-11-14,-11.1111
2016-11-15,10.0
2016-11-16,-9.0909
2016-11-17,12.5
2016-11-18,4.4444
2016-11-21,-8.5106
2016-11-22,53.4884
2016-11-23,-18.8447
2016-11-25,-6.6511
2016-11-28,-12.0
2016-11-29,-3.4091
2016-11-30,-5.8824
2016-12-01,0.0
2016-12-02,-5.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,14.786200000000001
2016-12-08,-3.7111
2016-12-09,-5.9524
2016-12-12,-5.4589
2016-12-13,-10.2929
2016-12-14,10.4478
2016-12-15,-4.3243
2016-12-16,-1.1299
2016-12-19,0.0
2016-12-20,2.4286
2016-12-21,-12.9707
