ticker,SUN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-09-20,11.7561
2012-09-21,0.742
2012-09-24,-0.2166
2012-09-25,0.2605
2012-09-26,0.9528
2012-09-27,0.3861
2012-09-28,2.5614
2012-10-01,-0.4141
2012-10-02,-0.5439
2012-10-03,-1.3462
2012-10-04,1.6631
2012-10-05,2.0134
2012-10-08,-2.097
2012-10-09,0.0
2012-10-10,1.218
2012-10-11,0.9129
2012-10-12,2.5493
2012-10-15,1.3633
2012-10-16,-0.0791
2012-10-17,-0.9897
2012-10-18,0.7997
2012-10-19,-0.3967
2012-10-22,-0.0398
2012-10-23,-0.7968
2012-10-24,-1.6064
2012-10-25,-0.6122
2012-10-26,0.2053
2012-10-31,0.7377
2012-11-01,0.1221
2012-11-02,-2.1536
2012-11-05,-0.706
2012-11-06,0.0418
2012-11-07,1.2542
2012-11-08,0.4955
2012-11-09,1.7256
2012-11-12,4.8465
2012-11-13,-2.5039
2012-11-14,-2.5682
2012-11-15,-1.9526
2012-11-16,1.2836
2012-11-19,-0.2044
2012-11-20,-1.229
2012-11-21,0.9125
2012-11-23,-0.0398
2012-11-26,-0.3713
2012-11-27,-0.1238
2012-11-28,1.4463
2012-11-29,-0.2444
2012-11-30,1.96
2012-12-03,1.1213
2012-12-04,-1.5842
2012-12-05,1.5292
2012-12-06,-1.9024999999999999
2012-12-07,0.9293
2012-12-10,-0.5204
2012-12-11,0.1207
2012-12-12,-1.6077
2012-12-13,0.0408
2012-12-14,0.3675
2012-12-17,1.3019
2012-12-18,0.0402
2012-12-19,0.7627
2012-12-20,-0.5179
2012-12-21,-0.2803
2012-12-24,1.0843
2012-12-26,-0.9535
2012-12-27,-0.0802
2012-12-28,-0.1606
2012-12-31,1.1661
2013-01-02,3.2989
2013-01-03,3.3474
2013-01-04,-0.3723
2013-01-07,0.1868
2013-01-08,1.5293
2013-01-09,3.9677
2013-01-10,1.2014
2013-01-11,0.2444
2013-01-14,0.2786
2013-01-15,-0.3821
2013-01-16,1.4993
2013-01-17,-1.3397000000000001
2013-01-18,0.8705
2013-01-22,0.069
2013-01-23,-0.3794
2013-01-24,0.1731
2013-01-25,0.0691
2013-01-28,-0.0691
2013-01-29,-0.1728
2013-01-30,-0.4501
2013-01-31,0.8696
2013-02-01,-3.5172
2013-02-04,-0.1787
2013-02-05,1.7186
2013-02-06,1.408
2013-02-07,-0.5211
2013-02-08,1.6404
2013-02-11,-0.4463
2013-02-12,-1.9655
2013-02-13,-0.4573
