ticker,CAPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-06-24,-70.5882
2002-07-03,0.0
2002-11-05,6.6667
2002-12-12,368.75
2002-12-13,100.0
2002-12-16,0.0
2002-12-17,6.6667
2002-12-18,-6.25
2002-12-19,-1.3333
2002-12-20,-5.4054
2003-01-03,0.0
2003-01-06,0.0
2003-01-09,3.5714
2003-01-10,-3.4483
2003-01-13,5.7143
2003-01-14,1.3514
2003-01-15,0.0
2003-01-16,-6.6667
2003-01-17,0.0
2003-01-21,-10.7143
2003-01-22,-20.0
2003-01-23,20.0
2003-01-24,0.8333
2003-01-27,7.438
2003-01-28,5.3846
2003-02-03,-8.7591
2003-02-07,11.2
2003-02-10,0.0
2003-02-13,-7.9137
2003-02-20,1.5625
2003-02-24,7.6923
2003-02-25,0.0
2003-02-26,0.0
2003-02-28,5.0
2003-03-03,-4.7619
2003-03-04,-10.7143
2003-03-05,0.0
2003-03-06,4.0
2003-03-07,0.0
2003-03-10,-1.5385
2003-03-11,1.5625
2003-03-18,0.0
2003-03-20,-19.2308
2003-03-24,4.7619
2003-03-27,0.0
2003-03-28,16.3636
2003-03-31,-14.8437
2003-04-04,19.2661
2003-04-08,-4.6154
2003-04-09,0.8065
2003-04-11,-0.8
2003-04-14,0.0
2003-04-15,0.0
2003-04-16,0.0
2003-04-17,-5.6452
2003-04-25,-16.2393
2003-04-28,-3.0612
2003-05-06,1.5789
2003-05-07,7.772
2003-05-12,-12.5
2003-05-14,-23.0769
2003-05-22,-7.1429
2003-05-23,-1.5385
2003-05-29,-1.5625
2003-12-03,-19.0476
2003-12-15,0.0
2004-01-22,47.0588
2004-02-05,66.6667
2004-02-23,-40.0
2004-03-03,40.0
2004-04-28,-26.6667
2004-05-07,-1.2987
2004-06-18,0.0
2004-06-22,0.0
2004-07-09,0.0
2004-09-22,-1.3158
2004-09-24,-26.6667
2004-10-26,-7.2727
2004-12-08,0.0
2004-12-10,27.451
2005-01-11,-21.5385
2005-01-19,13.7255
2005-01-26,-12.069
2005-02-03,17.647100000000002
2005-02-23,-6.6667
2005-05-10,0.0
2005-05-27,7.1429
2005-05-31,0.0
2005-06-08,-15.0
2005-06-09,-1.9607999999999999
2005-11-10,30.0
2006-01-17,-46.1538
2006-01-26,97.1429
2006-03-17,0.0
2006-07-13,-40.5797
2006-07-21,-14.6341
2006-08-15,28.5714
2006-09-13,17.7778
2006-09-19,3.7736
2006-09-25,0.0
2006-09-26,0.0
2006-09-27,-3.6364
