ticker,ABM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.3067
2000-01-04,0.3077
2000-01-05,-1.227
2000-01-06,0.3106
2000-01-07,0.3096
2000-01-10,0.0
2000-01-11,-0.9259
2000-01-12,0.4611
2000-01-13,-3.125
2000-01-14,4.5161
2000-01-18,-2.1605
2000-01-19,1.5773000000000001
2000-01-20,0.9317
2000-01-21,4.3077
2000-01-24,-0.295
2000-01-25,-2.6627
2000-01-26,-0.304
2000-01-27,0.0
2000-01-28,-1.5244
2000-01-31,1.548
2000-02-01,0.6098
2000-02-02,-0.9091
2000-02-03,2.7523
2000-02-04,4.1667
2000-02-07,-0.5714
2000-02-08,-2.5862
2000-02-09,-0.295
2000-02-10,2.071
2000-02-11,-0.7426
2000-02-14,3.0844
2000-02-15,1.6997
2000-02-16,3.6212
2000-02-17,8.6022
2000-02-18,-2.4752
2000-02-22,-1.7766
2000-02-23,2.3256
2000-02-24,-3.0303
2000-02-25,0.5208
2000-02-28,1.8135
2000-02-29,2.5445
2000-03-01,0.0
2000-03-02,1.2407
2000-03-03,2.6961
2000-03-06,-1.6705999999999999
2000-03-07,0.2427
2000-03-08,0.4843
2000-03-09,0.0
2000-03-10,-0.241
2000-03-13,-0.9662
2000-03-14,2.439
2000-03-15,0.2381
2000-03-16,0.2375
2000-03-17,-0.237
2000-03-20,0.7126
2000-03-21,4.2453
2000-03-22,-0.905
2000-03-23,1.5981999999999998
2000-03-24,-4.9437999999999995
2000-03-27,-2.8369
2000-03-28,0.0
2000-03-29,-4.6229
2000-03-30,-0.2551
2000-03-31,-3.8363
2000-04-03,1.5957
2000-04-04,-3.4031000000000002
2000-04-05,-2.981
2000-04-06,2.2346
2000-04-07,2.1858
2000-04-10,-0.8021
2000-04-11,0.2695
2000-04-12,2.0108
2000-04-13,0.5305
2000-04-14,0.2639
2000-04-17,-2.3684
2000-04-18,2.965
2000-04-19,0.5236
2000-04-20,1.5625
2000-04-24,1.2821
2000-04-25,1.7722
2000-04-26,0.995
2000-04-27,-0.4926
2000-04-28,0.0
2000-05-01,0.495
2000-05-02,0.0
2000-05-03,-0.7389
2000-05-04,0.0
2000-05-05,-0.2481
2000-05-08,-1.2438
2000-05-09,-1.2594
2000-05-10,-2.551
2000-05-11,0.2618
2000-05-12,-0.2611
2000-05-15,0.0
2000-05-16,-0.2618
2000-05-17,-1.3123
2000-05-18,-5.0532
2000-05-19,2.521
2000-05-22,3.8251
2000-05-23,-6.0526
2000-05-24,1.6806999999999999
