ticker,GNLN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-04-18,24.1176
2019-04-22,-7.6303
2019-04-23,6.2083
2019-04-24,-4.1063
2019-04-25,-4.0302
2019-04-26,-5.2493
2019-04-29,-3.1025
2019-04-30,-2.8016
2019-05-01,-12.7059
2019-05-02,-10.1078
2019-05-03,6.6716999999999995
2019-05-06,9.1356
2019-05-07,4.2498
2019-05-08,1.9148
2019-05-09,4.6667
2019-05-10,-5.9062
2019-05-13,-4.3692
2019-05-14,5.0193
2019-05-15,1.7770000000000001
2019-05-16,-3.6725
2019-05-17,-2.9375
2019-05-20,1.7386
2019-05-21,-0.9494
2019-05-22,0.5751
2019-05-23,-3.6212999999999997
2019-05-24,0.2637
2019-05-28,1.1177
2019-05-29,-1.3004
2019-05-30,-0.1976
2019-05-31,0.5941
2019-06-03,2.231
2019-06-04,1.0911
2019-06-05,-3.0476
2019-06-06,-1.2443
2019-06-07,3.1167
2019-06-10,-3.4727
2019-06-11,0.0666
2019-06-12,-3.4621
2019-06-13,-3.3103
2019-06-14,-0.7846
2019-06-17,-2.8756
2019-06-18,-1.7765
2019-06-19,-17.1063
2019-06-20,2.2727
2019-06-21,-8.2667
2019-06-24,-9.6899
2019-06-25,3.5408
2019-06-26,-6.114
2019-06-27,9.8234
2019-06-28,-3.6181
2019-07-01,-5.8394
2019-07-02,-5.9801
2019-07-03,-6.2426
2019-07-05,4.5226
2019-07-08,-3.6058
2019-07-09,0.7481
2019-07-10,0.3713
2019-07-11,-1.3564
2019-07-12,-2.875
2019-07-15,-0.7722
2019-07-16,0.5188
2019-07-17,3.2258
2019-07-18,3.125
2019-07-19,-4.0
2019-07-22,-2.904
2019-07-23,-1.0403
2019-07-24,-1.8397000000000001
2019-07-25,-1.2048
2019-07-26,5.1491
2019-07-29,1.0309
2019-07-30,5.3571
2019-07-31,2.0581
2019-08-01,-5.3381
2019-08-02,0.3759
2019-08-05,-1.9975
2019-08-06,1.2739
2019-08-07,0.2516
2019-08-08,13.9272
2019-08-09,-5.6167
2019-08-12,3.3839
2019-08-13,-14.3341
2019-08-14,-8.4321
2019-08-15,0.2878
2019-08-16,-6.8867
2019-08-19,-1.2327
2019-08-20,0.156
2019-08-21,4.2056000000000004
2019-08-22,4.9327
2019-08-23,-7.1225
2019-08-26,1.3804
2019-08-27,-3.3283
2019-08-28,0.7825
2019-08-29,1.5528
2019-08-30,-5.1988
2019-09-03,-0.9677
2019-09-04,-2.2801
2019-09-05,3.6667
