ticker,BWEN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-01-12,0.0
2005-02-16,-16.0
2005-06-17,19.0476
2005-06-23,-20.0
2005-08-26,121.0
2005-08-29,35.7466
2005-09-09,405.0
2005-09-13,3.9604
2005-10-07,47.619
2005-10-17,-19.3548
2005-10-18,-19.2
2005-10-25,0.0
2005-10-26,49.505
2005-10-27,52.3179
2005-10-28,15.2174
2005-10-31,20.7547
2005-11-01,0.0
2005-11-02,-3.125
2005-11-03,-8.0645
2005-11-04,14.0351
2005-11-07,11.3846
2005-11-08,-1.9337
2005-11-10,-7.0423
2005-11-11,-6.0606
2005-11-14,10.645199999999999
2005-11-15,2.0408
2005-11-16,0.0
2005-11-17,0.0
2005-11-18,1.4285999999999999
2005-11-21,-1.4085
2005-11-22,-7.1429
2005-11-23,3.0769
2005-11-25,4.4776
2005-11-28,-2.2857
2005-11-29,0.8772
2005-11-30,0.0
2005-12-01,1.4493
2005-12-02,-14.2857
2005-12-05,8.3333
2005-12-06,-3.0769
2005-12-07,0.0
2005-12-08,-4.7619
2005-12-09,0.0
2005-12-13,0.0
2005-12-14,0.0
2005-12-15,-2.0
2005-12-16,2.0408
2005-12-23,-1.6667
2005-12-27,1.6949
2005-12-28,-1.0
2005-12-30,-5.7239
2006-01-03,3.5714
2006-01-04,-1.7241
2006-01-06,7.0175
2006-01-09,3.2787
2006-01-10,3.1746
2006-01-11,-3.0769
2006-01-12,-1.5873
2006-01-13,0.0
2006-01-17,0.0
2006-01-18,0.0
2006-01-19,-1.6129
2006-01-20,1.3115
2006-01-23,0.3236
2006-01-24,-3.2258
2006-01-25,6.0
2006-01-26,-2.5157
2006-01-27,0.0
2006-01-30,-3.2258
2006-01-31,0.0
2006-02-02,-1.6667
2006-02-03,-1.6949
2006-02-06,1.7241
2006-02-07,1.6949
2006-02-08,-0.3333
2006-02-09,-4.6823
2006-02-10,-3.5088
2006-02-13,-12.7273
2006-02-14,0.0
2006-02-15,4.1667
2006-02-17,0.0
2006-02-21,-4.0
2006-02-22,0.0
2006-02-23,0.0
2006-03-01,0.0
2006-03-02,0.0
2006-03-03,-16.6667
2006-03-06,-6.0
2006-03-07,-1.5957
2006-03-08,0.0
2006-03-09,43.2432
2006-03-10,5.6604
2006-03-13,-3.9286
2006-03-14,-1.487
2006-03-15,1.8868
2006-03-16,-14.8148
2006-03-17,-6.5217
2006-03-20,-9.3023
2006-03-21,14.8718
2006-03-22,-15.625
2006-03-23,16.4021
2006-03-24,-6.8182
