ticker,NSAV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-10,0.0
2009-11-11,0.3344
2009-11-12,0.0
2009-11-19,21.6667
2009-12-03,2.7397
2009-12-18,-13.3333
2009-12-22,-7.6923
2010-03-19,-25.0
2010-04-06,-96.8889
2010-08-23,757.1429
2010-10-21,-12.5
2010-10-25,14.2857
2010-11-04,-12.5
2010-11-26,300.0
2010-11-29,0.0
2010-11-30,-60.7143
2011-02-18,729.0909
2011-02-22,-21.0526
2011-02-23,0.0
2011-02-24,43.3333
2011-02-25,-20.9302
2011-02-28,11.7647
2011-03-01,105.2632
2011-03-02,-5.1282
2011-03-03,-5.4054
2011-03-04,-2.2857
2011-03-07,18.4211
2011-03-08,70.6173
2011-03-09,12.301
2011-03-10,-21.7784
2011-03-11,-9.3904
2011-03-14,34.3636
2011-03-15,-7.3072
2011-03-16,-9.4891
2011-03-17,-12.9032
2011-03-18,-14.8148
2011-03-21,-21.7391
2011-03-22,-20.8333
2011-03-23,-16.8421
2011-03-24,77.2152
2011-03-25,-7.1429
2011-03-28,-19.2308
2011-03-29,-14.9206
2011-03-30,19.403
2011-03-31,-0.3125
2011-04-01,-12.2257
2011-04-04,-2.5
2011-04-05,-4.3956
2011-04-06,-4.2146
2011-04-07,-6.0
2011-04-08,-2.1277
2011-04-11,-13.0435
2011-04-12,-10.0
2011-04-13,-16.6667
2011-04-14,40.0
2011-04-15,-10.0
2011-04-18,5.8201
2011-04-19,-0.5
2011-04-20,-4.5226
2011-04-21,-10.0
2011-04-25,11.1111
2011-04-26,-10.526299999999999
2011-04-27,0.0
2011-04-28,8.8235
2011-04-29,-6.4865
2011-05-02,1.1561
2011-05-03,-8.0
2011-05-04,0.0
2011-05-05,5.5901
2011-05-06,0.0
2011-05-09,-5.8824
2011-05-10,1.25
2011-05-11,-4.321
2011-05-12,0.0
2011-05-13,16.129
2011-05-16,30.5556
2011-05-17,8.5106
2011-05-18,-9.8039
2011-05-19,4.3478
2011-05-20,2.0833
2011-05-23,-0.051
2011-05-24,-10.1582
2011-05-25,-4.5455
2011-05-26,14.2857
2011-05-27,1.25
2011-05-31,2.8807
2011-06-01,-9.6
2011-06-02,-2.1571
2011-06-03,1.7524
2011-06-06,-7.5556
2011-06-07,8.0829
2011-06-08,-15.4851
2011-06-09,2.6316
2011-06-10,0.0
2011-06-13,-7.6923
2011-06-14,0.0
2011-06-15,0.0
2011-06-16,-5.5556
2011-06-17,5.2941
2011-06-20,-2.7933
2011-06-21,0.0
