ticker,GRNF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-05-03,0.0
2011-05-04,0.0
2011-05-05,0.0
2011-05-12,0.0
2011-07-05,0.0
2011-07-06,0.0
2011-07-07,0.0
2011-07-08,0.0
2011-07-18,13.6364
2011-07-19,0.0
2011-07-25,-12.0
2011-07-29,0.0
2011-08-01,0.0
2011-08-10,0.0
2011-08-17,18.1818
2011-09-08,15.3846
2011-09-09,0.0
2011-09-20,-13.3333
2011-09-26,0.0
2011-09-30,0.0
2011-10-13,15.3846
2011-10-14,3.3333
2011-10-17,3.2258
2011-10-19,12.5
2011-10-21,-16.6667
2011-10-31,-16.6667
2011-11-09,20.0
2012-01-17,-6.6667
2012-01-18,10.7143
2012-01-19,0.0
2012-01-20,0.0
2012-01-24,-9.6774
2012-01-25,0.0
2012-01-26,10.7143
2012-01-27,0.0
2012-02-01,-19.3548
2012-02-03,24.0
2012-02-06,0.0
2012-02-07,2.0362999999999998
2012-02-08,-36.7714
2012-02-09,55.0
2012-02-10,3.2258
2012-02-13,0.0
2012-02-15,0.0
2012-02-17,0.0
2012-02-21,-37.5
2012-02-22,50.0
2012-02-23,-13.3333
2012-02-24,0.0
2012-02-29,3.8462
2012-03-02,3.7037
2012-03-06,-8.9286
2012-03-12,-19.6078
2012-03-29,41.4634
2012-04-03,-29.3103
2012-04-11,0.0
2012-04-19,-2.439
2012-04-20,0.0
2012-04-23,5.0
2012-04-24,4.7619
2012-04-25,-27.2727
2012-04-26,25.0
2012-04-27,20.0
2012-04-30,-8.3333
2012-05-03,-2.2727
2012-05-08,0.0
2012-05-11,-2.3256
2012-05-16,-19.0476
2012-05-17,-0.5882
2012-05-18,1.1834
2012-05-22,-15.2047
2012-05-23,21.6379
2012-05-24,2.0553
2012-05-25,22.2222
2012-05-30,-31.8182
2012-05-31,0.0
2012-06-01,4.5417
2012-06-04,-4.3444
2012-06-07,0.0
2012-06-08,43.75
2012-06-11,2.029
2012-06-12,-9.0909
2012-06-13,-5.0
2012-06-14,-15.7895
2012-06-15,0.0
2012-06-18,37.5
2012-06-19,0.0
2012-06-20,-31.8182
2012-06-21,53.3333
2012-06-22,-4.3478
2012-06-26,2.2727
2012-06-28,-33.3333
2012-06-29,-6.6667
2012-07-02,7.1429
2012-07-05,32.6667
2012-07-06,-9.5477
2012-07-09,-16.6667
2012-07-12,13.3333
2012-07-13,17.647100000000002
2012-07-17,0.0
2012-07-20,-25.0
2012-07-24,20.0
2012-07-25,22.2222
2012-07-26,22.7273
