ticker,GDRZF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-13.3333
2000-01-04,0.0
2000-01-05,-7.6923
2000-01-06,16.6667
2000-01-07,-14.2857
2000-01-10,0.0
2000-01-11,8.3333
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,0.0
2000-01-18,0.0
2000-01-19,0.0
2000-01-20,0.0
2000-01-21,-3.8462
2000-01-24,0.0
2000-01-25,4.0
2000-01-26,0.0
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,3.8462
2000-02-01,-3.7037
2000-02-02,-2.7692
2000-02-03,2.8481
2000-02-04,7.6923
2000-02-07,35.7143
2000-02-08,-15.7895
2000-02-09,25.0
2000-02-10,0.0
2000-02-11,-15.0
2000-02-14,0.0
2000-02-15,-17.647100000000002
2000-02-16,0.0
2000-02-17,0.0
2000-02-18,2.8571
2000-02-22,-2.7778
2000-02-24,7.1429
2000-02-25,-13.3333
2000-02-28,0.0
2000-03-01,7.6923
2000-03-02,0.0
2000-03-03,-12.0
2000-03-06,-2.5974
2000-03-07,0.0
2000-03-08,25.0
2000-03-09,0.0
2000-03-10,-6.6667
2000-03-13,0.0
2000-03-14,-7.1429
2000-03-15,-4.6154
2000-03-17,1.9355
2000-03-20,-5.0633
2000-03-21,8.3333
2000-03-22,7.6923
2000-03-23,-14.2857
2000-03-24,0.0
2000-03-27,12.0
2000-03-28,-10.119
2000-03-29,-0.6623
2000-03-30,0.0
2000-03-31,-6.6667
2000-04-03,4.2857
2000-04-04,2.7397
2000-04-05,0.0
2000-04-07,6.6667
2000-04-10,-10.0
2000-04-11,21.5278
2000-04-12,-17.7143
2000-04-13,0.0
2000-04-14,5.5556
2000-04-17,-13.651299999999999
2000-04-18,14.2857
2000-04-19,-8.0
2000-04-20,4.3478
2000-04-24,-6.9444
2000-04-25,7.2761
2000-04-26,-8.1739
2000-04-27,-0.5682
2000-04-28,0.5714
2000-05-01,-0.5682
2000-05-02,14.2857
2000-05-03,-12.5
2000-05-04,13.5238
2000-05-05,-7.7181
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,1.8182
2000-05-12,0.0
2000-05-15,-1.7856999999999998
2000-05-16,-4.5455
2000-05-17,4.7619
2000-05-18,9.0909
2000-05-19,-20.0
2000-05-23,25.0
2000-05-30,-2.6667
2000-06-02,0.0
2000-06-05,-5.8219
2000-06-06,9.0909
2000-06-07,-4.1667
2000-06-08,0.0
2000-06-12,0.0
2000-06-13,0.0
2000-06-15,18.2609
2000-06-16,0.0
