ticker,BFCC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-05,-2.3904
2019-07-09,2.0408
2019-07-10,4.0
2019-08-14,-1.9231
2019-09-09,0.9804
2019-09-12,0.0
2019-09-13,-2.9126
2019-09-19,-0.96
2019-09-20,0.0
2019-09-24,0.0
2019-09-30,-0.2019
2019-10-01,-0.2023
2019-10-02,0.2028
2019-10-04,-2.6710000000000003
2019-10-07,-0.2079
2019-10-09,0.0
2019-10-17,0.0
2019-10-24,0.0
2019-10-30,-0.2083
2019-10-31,0.0
2019-11-01,0.0
2019-11-04,0.0
2019-11-05,0.2088
2019-11-19,-0.2083
2019-12-12,2.3454
2019-12-17,-2.0833
2019-12-20,1.4894
2019-12-23,0.6289
2019-12-24,-0.4167
2019-12-27,0.3766
2019-12-30,-0.5836
2020-01-06,0.6289
2020-01-15,0.0
2020-01-17,0.0
2020-01-27,1.0417
2020-01-31,-1.0309
2020-02-04,1.0417
2020-02-05,1.0309
2020-02-11,-2.0408
2020-02-13,1.0417
2020-02-18,-0.4124
2020-02-25,-0.4141
2020-02-26,-0.2079
2020-02-28,-0.625
2020-03-09,-0.1677
2020-03-12,-3.4019
2020-03-13,-8.6957
2020-03-18,-28.5714
2020-03-19,0.0
2020-03-20,1.6667
2020-03-24,4.918
2020-03-27,4.6875
2020-04-09,10.4478
2020-04-14,8.1081
2020-04-20,-6.25
2020-04-23,1.3333
2020-04-27,1.3158
2020-04-28,1.2987
2020-04-29,-2.5641
2020-04-30,1.3158
2020-05-01,9.039
2020-05-18,-7.0986
2020-05-19,10.2559
2020-06-04,-2.3251
2020-06-05,5.9524
2020-06-08,-7.8652
2020-06-09,-2.439
2020-06-10,0.0
2020-06-12,-1.25
2020-06-16,3.7975
2020-06-25,0.0
2020-06-26,-1.4634
2020-07-02,-0.9901
2020-07-07,-2.5
2020-07-08,-2.5641
2020-07-09,-2.6316
2020-07-10,5.4054
2020-07-16,0.0
2020-07-21,2.5641
2020-07-22,0.0
2020-07-24,-1.25
2020-07-27,0.0
2020-07-28,3.7975
2020-07-29,-2.439
2020-07-31,-6.2
