ticker,BLBD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-03-21,-1.2474
2014-03-27,0.6316
2014-04-04,1.2551999999999999
2014-04-07,0.0
2014-04-09,-0.9298
2014-04-10,0.7299
2014-04-14,0.4141
2014-04-15,0.0
2014-04-22,-1.5464
2014-04-23,0.0
2014-04-25,1.0471
2014-04-29,-1.0363
2014-05-02,0.0
2014-05-07,1.2565
2014-05-08,-0.4137
2014-05-09,0.3115
2014-05-12,0.3106
2014-05-13,-1.0268
2014-05-14,0.4119
2014-05-15,-0.1038
2014-05-16,-0.2079
2014-05-19,-0.4167
2014-05-21,0.9414
2014-05-23,0.6218
2014-05-27,-0.309
2014-05-28,0.4132
2014-05-29,-0.2058
2014-06-02,-0.2062
2014-06-06,-0.1033
2014-06-10,0.3102
2014-06-12,0.2062
2014-06-13,0.1029
2014-06-16,-0.1028
2014-06-17,0.0
2014-06-18,-0.2058
2014-06-19,0.5155
2014-06-20,-0.4103
2014-06-23,0.5149
2014-06-24,-0.6148
2014-06-25,0.1031
2014-06-26,0.0
2014-06-27,-0.103
2014-06-30,0.3093
2014-07-01,-0.3083
2014-07-02,0.1031
2014-07-03,0.103
2014-07-08,-0.1029
2014-07-09,0.0
2014-07-10,0.0
2014-07-11,0.0
2014-07-14,-0.103
2014-07-15,0.1031
2014-07-16,0.0
2014-07-17,0.206
2014-07-21,-0.3083
2014-07-22,0.1031
2014-07-24,0.1043
2014-07-25,-0.207
2014-07-29,0.0
2014-07-31,0.2062
2014-08-15,0.2058
2014-08-18,-0.308
2014-08-20,-0.103
2014-08-21,0.0
2014-08-22,0.1031
2014-08-25,0.8239
2014-08-26,-0.9193
2014-08-27,0.3093
2014-08-28,0.8222
2014-08-29,-0.9174
2014-09-02,0.823
2014-09-03,-0.3061
2014-09-04,0.2047
2014-09-05,-0.2043
2014-09-08,-0.1024
2014-09-09,0.2049
2014-09-10,-0.409
2014-09-11,0.0
2014-09-12,-0.1027
2014-09-19,0.0
2014-09-22,1.7388
2014-09-23,0.0082
2014-09-24,-0.7071
2014-09-29,0.5086
2014-09-30,-0.8097
2014-10-01,0.3776
2014-10-02,-0.4778
2014-10-03,0.3064
2014-10-06,-0.611
2014-10-07,0.5123
2014-10-08,0.8155
2014-10-15,0.2022
2014-10-20,-0.6054
2014-10-21,-0.6091
2014-10-22,-0.1021
2014-10-23,0.3067
2014-10-24,0.4077
2014-10-27,-0.1015
2014-10-29,-0.1016
2014-12-05,0.2035
2014-12-12,0.0
