ticker,HLNE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-03-01,12.625
2017-03-02,1.0544
2017-03-03,2.8007
2017-03-06,-1.3889
2017-03-07,1.2459
2017-03-08,-1.0701
2017-03-09,-0.2704
2017-03-10,0.1627
2017-03-13,1.7325
2017-03-14,1.9159000000000002
2017-03-15,-0.7833
2017-03-16,1.0
2017-03-17,0.3127
2017-03-20,0.0
2017-03-21,-0.0519
2017-03-22,-1.2993999999999999
2017-03-23,0.316
2017-03-24,-0.105
2017-03-27,-1.1035
2017-03-28,-0.2657
2017-03-29,-0.959
2017-03-30,-0.269
2017-03-31,0.7012
2017-04-03,-1.6604
2017-04-04,-0.8715
2017-04-05,1.9231
2017-04-06,-0.1078
2017-04-07,-0.4317
2017-04-10,-0.542
2017-04-11,-0.2725
2017-04-12,0.3279
2017-04-13,1.4161000000000001
2017-04-17,-0.7519
2017-04-18,-0.487
2017-04-19,0.4894
2017-04-20,0.3788
2017-04-21,-0.4852
2017-04-24,0.4334
2017-04-25,0.3776
2017-04-26,0.1075
2017-04-27,0.4294
2017-04-28,0.0534
2017-05-01,1.0684
2017-05-02,0.4228
2017-05-03,-0.5263
2017-05-04,2.0635
2017-05-05,0.1037
2017-05-08,0.5697
2017-05-09,0.8754
2017-05-10,-0.4594
2017-05-11,1.4359
2017-05-12,-0.4044
2017-05-15,1.3706
2017-05-16,0.1002
2017-05-17,-0.7004
2017-05-18,-4.0806000000000004
2017-05-19,2.6261
2017-05-22,2.303
2017-05-23,0.1751
2017-05-24,3.3208
2017-05-25,0.29
2017-05-26,-1.4458
2017-05-30,-1.0758
2017-05-31,0.0
2017-06-01,1.3347
2017-06-02,2.3902
2017-06-05,-0.0476
2017-06-06,-1.9066
2017-06-07,1.5549
2017-06-08,-0.0478
2017-06-09,-0.7659
2017-06-12,-0.5306
2017-06-13,1.4549
2017-06-14,0.239
2017-06-15,2.9089
2017-06-16,-1.4828999999999999
2017-06-19,3.1985
2017-06-20,-0.5925
2017-06-21,-0.5502
2017-06-22,1.2218
2017-06-23,0.1377
2017-06-26,1.1921
2017-06-27,-0.9968
2017-06-28,0.6407
2017-06-29,-0.1819
2017-06-30,0.1822
2017-07-03,2.9558999999999997
2017-07-05,-0.265
2017-07-06,-2.2586
2017-07-07,0.5437
2017-07-10,-0.4056
2017-07-11,-0.7692
2017-07-12,0.8208
2017-07-13,-0.7689
2017-07-14,-0.8204
2017-07-17,0.2298
2017-07-18,-0.0917
2017-07-19,2.2028
