ticker,EGRN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-05-29,18.6441
2009-06-01,0.0
2009-06-17,28.5714
2009-06-25,-20.0
2009-07-13,-8.3333
2009-07-14,36.3636
2009-07-23,-26.6667
2009-07-27,263.6364
2009-07-28,13.6563
2009-07-29,-3.2169
2009-07-30,-31.8182
2009-07-31,16.6667
2009-08-03,-22.8571
2009-08-04,7.4074
2009-08-05,-6.8966
2009-08-06,0.0
2009-08-07,-14.8148
2009-08-10,0.0
2009-08-11,0.0
2009-08-12,0.0
2009-08-14,13.0435
2009-08-17,-11.538499999999999
2009-08-20,0.0
2009-08-21,0.0
2009-08-24,8.6957
2009-08-25,-16.0
2009-08-26,47.619
2009-08-28,-67.7419
2009-09-03,50.0
2009-09-09,-26.6667
2009-09-21,-9.0909
2009-09-22,0.0
2009-09-23,0.0
2009-09-28,250.0
2009-09-29,-57.1429
2009-09-30,133.3333
2009-10-01,2.8571
2009-10-05,11.1111
2009-10-06,0.0
2009-10-07,-12.5
2009-10-08,0.0
2009-10-14,0.0
2009-10-19,0.0
2009-10-23,0.0
2009-10-26,2.8571
2009-11-04,-2.7778
2009-11-05,0.0
2009-11-19,5.7143
2009-11-20,0.0
2009-11-24,-2.7027
2009-11-25,-2.7778
2009-11-27,0.0
2009-12-01,0.0
2009-12-03,14.2857
2009-12-04,12.5
2009-12-07,0.0
2009-12-08,11.1111
2009-12-09,0.0
2009-12-10,0.0
2009-12-11,0.0
2009-12-15,2.0
2009-12-17,-11.7647
2009-12-18,-55.5556
2009-12-21,142.5
2009-12-28,3.0928
2009-12-29,-2.0
2009-12-30,0.5102
2010-01-05,-1.1168
2010-01-13,-7.5975
2010-01-14,-11.1111
2010-01-15,-12.5
2010-01-19,14.2857
2010-01-21,-12.5
2010-01-25,14.2857
2010-01-26,-22.5
2010-01-29,-3.2258
2010-02-01,3.3333
2010-02-02,12.9032
2010-02-03,-5.7143
2010-02-05,6.0606
2010-02-08,-14.2857
2010-02-11,-20.0
2010-02-12,0.0
2010-02-17,4.1667
2010-02-18,-19.0
2010-02-19,-0.7407
2010-02-23,14.4279
2010-02-24,15.2174
2010-02-25,0.0
2010-02-26,20.7547
2010-03-01,12.5
2010-03-03,-16.6667
2010-03-04,-16.6667
2010-03-05,-10.0
2010-03-08,11.1111
2010-03-10,0.0
2010-03-11,0.0
2010-03-12,0.0
2010-03-15,0.0
2010-03-16,12.0
2010-03-23,-10.7143
2010-04-05,12.0
2010-04-06,25.0
