ticker,MSTG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-14,-11.1111
2010-12-31,0.0
2011-01-03,0.0
2011-01-04,240.0
2011-02-08,-55.2941
2011-04-13,5.2632
2011-04-27,-50.0
2011-04-28,100.0
2011-05-05,-50.0
2011-05-17,5.0
2011-05-26,37.619
2011-05-27,-27.3356
2011-06-13,33.3333
2011-06-22,-50.0
2011-06-24,42.8571
2011-06-28,0.0
2011-07-11,20.0
2011-08-09,-12.5
2011-08-31,4.7619
2011-09-06,-31.8182
2011-09-07,6.6667
2011-09-08,0.0
2011-09-09,37.5
2011-09-12,-20.4545
2011-09-13,2.8571
2011-09-14,5.5556
2011-09-16,5.2632
2011-09-23,20.0
2011-10-17,-8.3333
2011-10-31,0.0
2011-11-03,13.6364
2011-11-04,40.0
2011-11-07,0.0
2011-11-09,14.2857
2011-11-10,15.0
2011-11-11,8.6957
2011-11-14,10.0
2011-11-15,-16.3636
2011-11-16,8.6957
2011-11-17,0.0
2011-11-18,0.0
2011-11-21,-4.0
2011-11-22,0.0
2011-11-23,4.1667
2011-11-25,0.0
2011-11-28,0.0
2011-11-29,2.0
2011-11-30,0.0
2011-12-01,-1.9607999999999999
2011-12-02,0.0
2011-12-05,2.0
2011-12-06,0.0
2011-12-07,0.0
2011-12-08,0.0
2011-12-09,9.8039
2011-12-12,-10.7143
2011-12-13,6.0
2011-12-14,41.5094
2011-12-15,-12.0
2011-12-19,-27.2727
2011-12-20,6.25
2011-12-22,0.0
2011-12-23,0.0
2011-12-28,0.0
2011-12-29,1.9607999999999999
2011-12-30,42.3077
2012-01-04,16.2162
2012-01-05,-12.7907
2012-01-06,0.0
2012-01-09,2.6667
2012-01-10,27.2727
2012-01-11,3.0612
2012-01-12,22.7723
2012-01-13,0.8065
2012-01-17,0.0
2012-01-18,-31.2
2012-01-19,1.1628
2012-01-20,1.1494
2012-01-23,1.1364
2012-01-24,1.1236
2012-01-25,1.1111
2012-01-26,1.0989
2012-01-27,2.1739
2012-01-30,10.6383
2012-01-31,4.8077
2012-02-01,5.5046
2012-02-02,6.9565
2012-02-03,8.1301
2012-02-06,9.0226
2012-02-07,-11.7241
2012-02-08,6.25
2012-02-09,-6.6176
2012-02-10,-10.2362
2012-02-13,5.2632
2012-02-14,0.0
2012-02-15,-3.3333
2012-02-16,-14.6552
2012-02-17,4.0404
2012-02-21,4.8544
2012-02-22,-4.6296
2012-02-23,-1.9417
2012-02-24,-2.9703
2012-02-27,0.0
2012-02-28,2.0408
