ticker,CHMR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-06-20,-45.0
2012-06-29,81.8182
2012-07-06,10.0
2012-07-10,85.4545
2012-07-18,7.8431
2012-07-19,9.0909
2012-07-20,0.0
2012-07-23,0.0
2012-07-24,8.3333
2012-07-25,7.6923
2012-07-26,5.7143
2012-07-27,41.8919
2012-07-30,0.0
2012-07-31,20.0
2012-08-01,7.9365
2012-08-02,5.1471
2012-08-03,3.4965
2012-08-06,-5.5617
2012-08-07,1.5964
2012-08-08,3.5211
2012-08-09,23.1293
2012-08-10,1.6575
2012-08-13,-41.8478
2012-08-14,5.6075
2012-08-15,-6.1947
2012-08-16,-24.5283
2012-08-17,-50.0
2012-08-20,-17.5
2012-08-21,63.6742
2012-08-22,31.4511
2012-08-23,-12.6761
2012-08-24,11.2903
2012-08-27,-31.8116
2012-08-28,-10.7333
2012-08-29,2.3810000000000002
2012-08-30,16.2791
2012-08-31,14.0
2012-09-04,5.2632
2012-09-05,10.0
2012-09-06,6.0606
2012-09-07,-2.8571
2012-09-10,5.7353
2012-09-11,-4.0334
2012-09-12,-14.1576
2012-09-13,1.2979
2012-09-14,-5.0
2012-09-17,5.2632
2012-09-18,-9.1667
2012-09-19,-4.5872
2012-09-20,3.8462
2012-09-21,-2.7778
2012-09-24,-2.8571
2012-09-25,-9.8039
2012-09-26,-25.0
2012-09-27,-1.4493
2012-09-28,-7.3529
2012-10-01,-33.3333
2012-10-02,11.9048
2012-10-03,27.6596
2012-10-04,15.0
2012-10-05,-10.1449
2012-10-08,-6.4516
2012-10-09,17.2414
2012-10-10,17.647100000000002
2012-10-11,-12.5
2012-10-12,-10.0
2012-10-15,0.2778
2012-10-16,-3.4428
2012-10-17,-8.2377
2012-10-18,0.0447
2012-10-19,-3.5714
2012-10-22,-9.2593
2012-10-23,-6.1224
2012-10-24,-13.0435
2012-11-08,-70.0
2012-11-09,-33.3333
2012-11-12,0.0
2012-11-13,-25.0
2012-11-14,16.6667
2012-11-15,42.8571
2012-11-16,-8.0
2012-11-19,8.6957
2012-11-20,0.0
2012-11-21,0.0
2012-11-23,0.0
2012-11-26,0.0
2012-11-27,0.0
2012-11-28,0.0
2012-11-29,0.0
2012-11-30,0.0
2012-12-03,0.0
2012-12-04,0.0
2012-12-05,0.0
2012-12-06,0.0
2012-12-07,0.0
2012-12-10,0.0
2012-12-11,0.0
2012-12-12,20.0
2012-12-13,-16.6667
2012-12-14,-20.0
2012-12-17,0.0
2012-12-18,0.0
