ticker,CHGS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-04-17,25.0
2006-04-20,16.0
2006-04-21,-13.7931
2006-05-04,20.0
2006-05-12,-16.6667
2006-06-06,0.0
2006-07-10,100.0
2006-07-17,-30.0
2006-07-18,-14.2857
2006-08-01,-13.3333
2006-08-09,0.0
2006-08-14,0.0
2006-08-24,15.3846
2006-08-28,150.0
2006-09-12,-60.0
2006-09-22,-13.3333
2006-10-12,0.0
2006-10-23,0.0
2006-11-01,-3.8462
2006-11-02,-28.0
2006-11-03,94.4444
2006-11-06,0.0
2006-11-08,0.0
2006-11-09,-28.5714
2006-11-10,0.0
2006-11-14,-20.0
2006-11-15,0.0
2006-11-16,25.0
2006-11-17,0.0
2006-11-20,0.0
2006-11-24,20.0
2006-12-01,0.0
2006-12-06,-50.0
2006-12-08,-33.3333
2006-12-20,-79.8
2006-12-21,0.0
2006-12-26,3.9604
2006-12-28,52.381
2006-12-29,118.75
2007-01-03,42.8571
2007-01-18,-55.0
2007-01-22,-20.0
2007-01-23,-38.8889
2007-01-24,4.5455
2007-01-25,0.0
2007-01-26,0.0
2007-01-29,4.3478
2007-01-30,-4.1667
2007-01-31,0.0
2007-02-01,0.0
2007-02-02,4.3478
2007-02-05,0.0
2007-02-06,4.1667
2007-02-07,0.0
2007-02-08,8.0
2007-02-09,1.4815
2007-02-12,2.1898
2007-02-13,3.5714
2007-02-14,31.0345
2007-02-15,-15.7895
2007-02-16,0.0
2007-02-21,-12.5
2007-02-22,2.1429
2007-02-23,23.7762
2007-02-26,4.5198
2007-02-27,0.0
2007-02-28,0.0
2007-03-01,0.0
2007-03-02,0.0
2007-03-05,0.0
2007-03-06,0.0
2007-03-07,21.6216
2007-03-08,-16.8889
2007-03-09,0.0
2007-03-12,0.0
2007-03-14,0.0
2007-03-16,0.0
2007-03-19,0.0
2007-03-20,1.6042999999999998
2007-03-23,1.5789
2007-03-26,0.0
2007-03-27,3.6269
2007-03-28,0.0
2007-03-29,0.0
2007-04-02,12.5
2007-04-03,0.0
2007-04-12,2.2222
2007-04-16,-2.1739
2007-04-20,0.0
2007-04-25,-11.1111
2007-04-26,32.5
2007-04-27,-5.6604
2007-04-30,0.0
2007-05-01,0.0
2007-05-02,16.0
2007-05-03,-8.6207
2007-05-04,-1.5093999999999999
2007-05-07,0.0
2007-05-08,11.1111
2007-05-11,-5.1724
2007-05-14,36.3636
2007-05-22,-6.6667
2007-05-23,0.0
2007-05-25,0.0
2007-05-29,-7.1429
