ticker,QRTEA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-05-05,-1.1219999999999999
2006-05-08,-0.6413
2006-05-09,0.0497
2006-05-10,-3.4739
2006-05-11,-2.9306
2006-05-12,-3.3369
2006-05-15,-0.5479
2006-05-16,1.9284
2006-05-17,-1.7297
2006-05-18,-0.8801
2006-05-19,0.8324
2006-05-22,-0.7155
2006-05-23,-0.1663
2006-05-24,0.4442
2006-05-25,0.3317
2006-05-26,0.1102
2006-05-30,-1.1007
2006-05-31,-0.0556
2006-06-01,1.7261
2006-06-02,-0.7663
2006-06-05,-0.9377
2006-06-06,0.0557
2006-06-07,0.0
2006-06-08,-0.3895
2006-06-09,-0.3911
2006-06-12,-2.0752
2006-06-13,-4.2955
2006-06-14,0.5386
2006-06-15,0.5952
2006-06-16,0.6509
2006-06-19,0.0
2006-06-20,0.823
2006-06-21,1.0496
2006-06-22,-0.5193
2006-06-23,-0.522
2006-06-26,0.1166
2006-06-27,0.0
2006-06-28,0.2912
2006-06-29,0.0581
2006-06-30,0.1741
2006-07-03,-0.0579
2006-07-05,-0.1159
2006-07-06,-0.058
2006-07-07,0.0581
2006-07-10,-0.3482
2006-07-11,-0.0582
2006-07-12,-1.1072
2006-07-13,-0.6482
2006-07-14,-2.7877
2006-07-17,-0.9762
2006-07-18,0.3081
2006-07-19,3.1941
2006-07-20,-0.2381
2006-07-21,-1.2530000000000001
2006-07-24,0.2417
2006-07-25,1.085
2006-07-26,-2.2063
2006-07-27,1.0366
2006-07-28,-0.5432
2006-07-31,-0.0607
2006-08-01,-0.7893
2006-08-02,0.1224
2006-08-03,0.7335
2006-08-04,-0.182
2006-08-07,0.8511
2006-08-08,0.0
2006-08-09,6.2086
2006-08-10,1.4756
2006-08-11,-0.6711
2006-08-14,-0.5631
2006-08-15,1.5855000000000001
2006-08-16,0.6689
2006-08-17,2.1595
2006-08-18,-0.0542
2006-08-21,0.1085
2006-08-22,-0.2167
2006-08-23,0.4343
2006-08-24,0.0
2006-08-25,-1.1351
2006-08-28,0.9841
2006-08-29,0.1083
2006-08-30,1.4602
2006-08-31,1.5991
2006-09-01,0.4722
2006-09-05,0.1567
2006-09-06,1.6684
2006-09-07,0.359
2006-09-08,0.1022
2006-09-11,-0.3063
2006-09-12,1.3825
2006-09-13,0.0
2006-09-14,0.202
2006-09-15,0.3528
2006-09-18,-0.3516
2006-09-19,0.252
2006-09-20,-1.0558
2006-09-21,0.4065
2006-09-22,-0.0506
2006-09-25,0.4557
