ticker,FUSB US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,-4.6296
2000-01-05,0.9709
2000-01-10,1.9231
2000-01-11,-5.6604
2000-01-12,6.0
2000-01-13,9.434
2000-01-18,-10.3448
2000-01-20,3.8462
2000-01-21,7.4074
2000-01-25,0.0
2000-01-26,-8.6207
2000-01-27,1.8868
2000-02-01,3.7037
2000-02-08,-7.1429
2000-02-09,4.8077
2000-02-10,1.8349
2000-02-23,-0.9009
2000-02-25,-5.4545
2000-02-28,1.9231
2000-03-02,-13.2075
2000-03-07,15.2174
2000-03-10,-9.434
2000-03-14,1.0417
2000-03-21,37.3855
2000-03-23,3.0303
2000-04-06,-20.5882
2000-04-07,3.7037
2000-04-10,-14.2857
2000-04-12,-4.1667
2000-04-18,-4.3478
2000-04-20,9.0909
2000-04-24,2.0833
2000-04-26,-10.2041
2000-04-27,-5.9658999999999995
2000-05-02,3.9275
2000-05-03,13.9535
2000-05-04,-2.0408
2000-05-08,4.1667
2000-05-10,-14.0
2000-05-15,16.2791
2000-05-17,6.0
2000-05-18,0.0
2000-05-22,0.0
2000-05-23,1.8868
2000-05-24,0.0
2000-05-31,11.1111
2000-06-02,-13.3333
2000-06-05,5.7692
2000-06-09,20.0
2000-06-12,-7.5758
2000-06-14,-2.5246
2000-06-19,0.0
2000-06-20,5.9322
2000-06-21,2.4
2000-06-22,0.0
2000-06-26,0.0
2000-06-27,3.125
2000-06-29,0.0
2000-07-03,1.3258
2000-07-07,0.1869
2000-07-11,-10.4478
2000-07-13,11.4583
2000-07-20,-5.7943999999999996
2000-07-21,0.0
2000-07-24,6.3492
2000-07-25,-5.9701
2000-07-27,-15.4762
2000-07-28,-0.4695
2000-08-02,1.8868
2000-08-07,-1.8519
2000-08-08,13.2075
2000-08-22,-7.5
2000-08-23,-1.8018
2000-08-25,-2.7523
2000-08-28,1.8868
2000-08-30,2.7778
2000-08-31,8.1081
2000-09-05,0.0
2000-09-08,-11.6667
2000-09-18,6.5855
2000-09-25,6.25
2000-09-26,-14.7059
2000-10-02,17.2414
2000-10-03,-13.4454
2000-10-09,-2.4272
2000-10-20,2.4876
2000-10-23,-2.4272
2000-10-30,2.4876
2000-10-31,-1.9417
2000-11-02,1.9802
2000-11-06,-2.4272
2000-11-07,0.0
2000-11-16,2.4876
2000-11-20,-3.8834999999999997
2000-11-28,3.0303
2000-12-12,-3.0471
2000-12-13,-4.0816
2000-12-15,-8.5106
2000-12-22,6.9767
2000-12-26,2.1739
