ticker,FIBK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-03-24,8.2759
2010-03-25,2.293
2010-03-26,3.0503
2010-03-29,0.8467
2010-03-30,-2.0971
2010-03-31,0.1377
2010-04-01,-1.4769
2010-04-05,0.1249
2010-04-06,-0.3743
2010-04-07,-0.7514
2010-04-08,0.3155
2010-04-09,0.5031
2010-04-12,0.1252
2010-04-13,-1.8125
2010-04-14,1.846
2010-04-15,0.625
2010-04-16,-1.2422
2010-04-19,-0.3774
2010-04-20,1.2626
2010-04-21,0.4364
2010-04-22,2.4822
2010-04-23,0.9093
2010-04-26,-2.9412000000000003
2010-04-27,-1.175
2010-04-28,1.627
2010-04-29,0.431
2010-04-30,-0.6744
2010-05-03,-0.2469
2010-05-04,0.1856
2010-05-05,-0.0618
2010-05-06,-1.6686999999999999
2010-05-07,-0.8799
2010-05-10,-0.7609
2010-05-11,0.7029
2010-05-12,0.6345
2010-05-13,0.3783
2010-05-14,-0.5025
2010-05-17,-0.7576
2010-05-18,-1.145
2010-05-19,-1.094
2010-05-20,-0.3904
2010-05-21,0.5225
2010-05-24,-0.5848
2010-05-25,-1.5032999999999999
2010-05-26,1.3935
2010-05-27,3.4031000000000002
2010-05-28,-0.3165
2010-06-01,2.6667
2010-06-02,-1.0513
2010-06-03,-0.75
2010-06-04,-0.9446
2010-06-07,-0.5722
2010-06-08,0.0
2010-06-09,-1.8542
2010-06-10,-0.2606
2010-06-11,0.5879
2010-06-14,-0.1948
2010-06-15,1.6265
2010-06-16,1.2164
2010-06-17,-1.012
2010-06-18,1.0863
2010-06-21,-0.6953
2010-06-22,1.1458
2010-06-23,1.3845
2010-06-24,-0.9311
2010-06-25,1.5664
2010-06-28,-2.5293
2010-06-29,0.1424
2010-06-30,0.1273
2010-07-01,-1.7165
2010-07-02,0.5175
2010-07-06,1.4157
2010-07-07,-1.0152
2010-07-08,0.0
2010-07-09,0.8333
2010-07-12,-3.3694
2010-07-13,3.2895
2010-07-14,-1.3376000000000001
2010-07-15,-1.7431
2010-07-16,-1.774
2010-07-19,-0.1338
2010-07-20,0.134
2010-07-21,-1.7391
2010-07-22,1.9061
2010-07-23,-4.7428
2010-07-26,-7.7139
2010-07-27,-1.0638
2010-07-28,0.8449
2010-07-29,0.0
2010-07-30,1.2947
2010-08-02,5.1128
2010-08-03,-2.7182
2010-08-04,-0.5147
2010-08-05,-1.0347
2010-08-06,0.8215
2010-08-09,1.037
2010-08-10,-3.8856
2010-08-11,-3.2037
