ticker,NUE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.9122
2000-01-04,-1.0357
2000-01-05,2.7907
2000-01-06,0.905
2000-01-07,0.3363
2000-01-10,-3.5754
2000-01-11,2.0857
2000-01-12,-3.4052
2000-01-13,3.4078
2000-01-14,-0.3409
2000-01-18,-1.9384000000000001
2000-01-19,2.7907
2000-01-20,-5.2036
2000-01-21,-2.5060000000000002
2000-01-24,-3.4272
2000-01-25,-0.7605
2000-01-26,-0.5109
2000-01-27,3.8510999999999997
2000-01-28,0.2472
2000-01-31,-1.8496000000000001
2000-02-01,0.2513
2000-02-02,-0.6266
2000-02-03,0.6305
2000-02-04,-2.2556
2000-02-07,-1.5385
2000-02-08,-3.5156
2000-02-09,2.4291
2000-02-10,-4.6113
2000-02-11,4.1436
2000-02-14,1.061
2000-02-15,8.9239
2000-02-16,-1.9277
2000-02-17,-0.3686
2000-02-18,-3.6991
2000-02-22,6.0179
2000-02-23,-0.8454
2000-02-24,-2.4361
2000-02-25,-3.995
2000-02-28,2.2107
2000-02-29,1.145
2000-03-01,0.1258
2000-03-02,-1.1307
2000-03-03,2.6684
2000-03-06,-4.703
2000-03-07,0.6494
2000-03-08,-2.4516
2000-03-09,2.2487
2000-03-10,-0.5175
2000-03-13,-2.8609
2000-03-14,2.6774
2000-03-15,4.6936
2000-03-16,3.7359999999999998
2000-03-17,-4.4418
2000-03-20,0.7538
2000-03-21,0.2494
2000-03-22,-0.4975
2000-03-23,0.25
2000-03-24,-0.6234
2000-03-27,-3.5132
2000-03-28,0.3901
2000-03-29,0.1813
2000-03-30,0.5188
2000-03-31,3.2258
2000-04-03,-1.125
2000-04-04,-0.5057
2000-04-05,-1.1436
2000-04-06,1.2852999999999999
2000-04-07,-4.9492
2000-04-10,3.0708
2000-04-11,3.1088
2000-04-12,0.6281
2000-04-13,0.1248
2000-04-14,-6.4838000000000005
2000-04-17,-1.6
2000-04-18,0.1355
2000-04-19,-2.0298
2000-04-20,1.6575
2000-04-24,-1.9022000000000001
2000-04-25,3.4626
2000-04-26,-2.6774
2000-04-27,-1.1004
2000-04-28,-4.3115
2000-05-01,1.3081
2000-05-02,-2.0086
2000-05-03,1.9034
2000-05-04,-1.4368
2000-05-05,-0.4373
2000-05-08,-0.1464
2000-05-09,-1.4663
2000-05-10,-1.7856999999999998
2000-05-11,-0.303
2000-05-12,2.4316
2000-05-15,-0.4451
2000-05-16,1.9374
2000-05-17,-2.0468
2000-05-18,0.4478
