ticker,HI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-03-24,9.7222
2008-03-25,16.4557
2008-03-26,0.0
2008-03-27,1.4348
2008-03-28,-0.7715
2008-03-31,-4.5356
2008-04-01,-2.7149
2008-04-02,-2.7907
2008-04-03,-2.8708
2008-04-04,0.3448
2008-04-07,-3.2401
2008-04-08,1.3191
2008-04-09,0.4006
2008-04-10,-3.0923
2008-04-11,0.3603
2008-04-14,1.0769
2008-04-15,-1.6743000000000001
2008-04-16,-2.3736
2008-04-17,-4.8097
2008-04-18,1.1105
2008-04-21,-0.4942
2008-04-22,0.6071
2008-04-23,-1.1519
2008-04-24,1.1099
2008-04-25,7.9583
2008-04-28,-3.1012
2008-04-29,-4.0399
2008-04-30,4.1006
2008-05-01,1.3655
2008-05-02,-0.1036
2008-05-05,-1.0373
2008-05-06,-0.5241
2008-05-07,1.7913999999999999
2008-05-08,1.1905000000000001
2008-05-09,1.3811
2008-05-12,4.995
2008-05-13,2.9793
2008-05-14,5.2263
2008-05-15,4.2572
2008-05-16,0.2127
2008-05-19,3.0985
2008-05-20,-2.182
2008-05-21,-0.5892
2008-05-22,-1.4395
2008-05-23,-1.5034
2008-05-27,-3.4453
2008-05-28,-2.3487
2008-05-29,0.2313
2008-05-30,2.215
2008-06-02,3.6117
2008-06-03,-2.3529
2008-06-04,2.4989
2008-06-05,0.4789
2008-06-06,-0.3899
2008-06-09,0.1305
2008-06-10,2.3458
2008-06-11,-1.9100000000000001
2008-06-12,-1.4171
2008-06-13,-2.7434
2008-06-16,0.1365
2008-06-17,3.9073
2008-06-18,0.8745
2008-06-19,-0.2601
2008-06-20,3.694
2008-06-23,-0.4191
2008-06-24,-4.0404
2008-06-25,-1.4912
2008-06-26,-0.7569
2008-06-27,5.1144
2008-06-30,-8.6641
2008-07-01,5.514
2008-07-02,-3.0558
2008-07-03,1.4619
2008-07-07,-1.891
2008-07-08,4.0844
2008-07-09,0.0882
2008-07-10,1.9383
2008-07-11,0.5186
2008-07-14,-0.6879
2008-07-15,-1.2121
2008-07-16,0.7888
2008-07-17,0.1739
2008-07-18,0.6076
2008-07-21,0.5177
2008-07-22,-0.9442
2008-07-23,-0.5633
2008-07-24,-1.3508
2008-07-25,2.2968
2008-07-28,-0.9499
2008-07-29,0.5231
2008-07-30,1.9514
2008-07-31,-1.5312999999999999
2008-08-01,1.2095
2008-08-04,-1.1524
2008-08-05,1.6839
2008-08-06,0.1699
2008-08-07,1.5261
2008-08-08,1.0021
