ticker,KKR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-15,-2.8571
2010-07-16,-5.0
2010-07-19,1.032
2010-07-20,-5.5158000000000005
2010-07-21,-4.8649000000000004
2010-07-22,5.6818
2010-07-23,2.1505
2010-07-26,2.0
2010-07-27,1.6512
2010-07-28,-2.6395999999999997
2010-07-29,-1.147
2010-07-30,-4.5359
2010-08-02,4.3094
2010-08-03,0.9534
2010-08-04,0.1049
2010-08-05,3.7736
2010-08-06,-0.404
2010-08-09,0.3043
2010-08-10,-0.6067
2010-08-11,-0.1017
2010-08-12,2.444
2010-08-13,0.994
2010-08-16,-1.6732
2010-08-17,4.004
2010-08-18,1.4437
2010-08-19,-1.1385
2010-08-20,-0.3839
2010-08-23,-1.8447
2010-08-24,0.5935
2010-08-25,-0.4916
2010-08-26,-0.5929
2010-08-27,1.6899
2010-08-30,-1.8573
2010-08-31,-0.1992
2010-09-01,2.1955999999999998
2010-09-02,-0.293
2010-09-03,0.3918
2010-09-07,0.0
2010-09-08,0.0
2010-09-09,-0.7805
2010-09-10,-0.0983
2010-09-13,1.1811
2010-09-14,-1.6537
2010-09-15,0.6924
2010-09-16,0.1965
2010-09-17,0.0
2010-09-20,-0.8824
2010-09-21,-0.0989
2010-09-22,1.4851
2010-09-23,0.2927
2010-09-24,3.5019
2010-09-27,0.3759
2010-09-28,-1.779
2010-09-29,1.0486
2010-09-30,0.0
2010-10-01,2.2641999999999998
2010-10-04,-1.0148
2010-10-05,0.932
2010-10-06,-3.0471
2010-10-07,0.7619
2010-10-08,4.9149
2010-10-11,-0.9009
2010-10-12,2.6364
2010-10-13,0.62
2010-10-14,-1.4085
2010-10-15,-1.9643000000000002
2010-10-18,2.1858
2010-10-19,-2.4064
2010-10-20,3.9269
2010-10-21,3.6907
2010-10-22,-0.339
2010-10-25,1.7006999999999999
2010-10-26,-0.2508
2010-10-27,1.5088
2010-10-28,2.0644
2010-10-29,2.589
2010-11-01,-1.3407
2010-11-02,1.1191
2010-11-03,0.3953
2010-11-04,5.4331
2010-11-05,-1.0456
2010-11-08,-0.2264
2010-11-09,-2.3449
2010-11-10,1.3323
2010-11-11,2.6295
2010-11-12,-0.5275
2010-11-15,-1.2121
2010-11-16,-2.3006
2010-11-17,-0.7064
2010-11-18,0.7905
2010-11-19,0.3922
2010-11-22,-0.1563
2010-11-23,-0.1565
2010-11-24,0.627
2010-11-26,-0.0779
2010-11-29,-0.7015
2010-11-30,-1.2559
2010-12-01,0.5564
